Desk,Currency,Positions,NV
HK,AUZ,10088.0,16351147.5
HK,CNX,12796.0,11753403.09
HK,HKX,13060.0,12048714.53
HK,JPX,17537.0,13301278.04
HK,SGX,18638.0,17556441.03
HK,USX,13521.0,15259300.0
LON,AUZ,11565.0,18572287.94
LON,CNX,15483.0,13097789.62
LON,HKX,11077.0,9599040.37
LON,JPX,10602.0,9594701.68
LON,SGX,17248.0,18315664.07
LON,USX,17058.0,19317567.0
NY,AUZ,10351.0,16921800.5
NY,CNX,18795.0,16340298.2
NY,HKX,22870.0,20137533.46
NY,JPX,15313.0,10898267.43
NY,SGX,12192.0,12569544.25
NY,USX,19451.0,22741949.0
SG,AUZ,11028.0,19152003.21
SG,CNX,9318.0,8865017.11
SG,HKX,10889.0,11003839.45
SG,JPX,15078.0,13313454.62
SG,SGX,6991.0,7373498.83
SG,USX,14003.0,16058680.0
SYD,AUZ,3698.0,6997991.7
SYD,CNX,4200.0,4117822.16
SYD,HKX,4352.0,4043249.81
SYD,JPX,7537.0,7101845.0
SYD,SGX,9283.0,9884943.57
SYD,USX,4390.0,5550144.0
TOK,AUZ,16812.0,29206709.35
TOK,CNX,11000.0,10735020.94
TOK,HKX,16863.0,15659468.4
TOK,JPX,13157.0,9388444.31
TOK,SGX,10968.0,11762680.84
TOK,USX,13626.0,16972177.0
