Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,6159.0,5501536.6
HK,T3179669,HK31,1864.0,1674074.02
HK,T3179669,HK32,1008.0,1300658.87
HK,T3179669,HK33,4711.0,4489859.03
HK,T3800229,HK00,3690.0,4295005.85
HK,T3800229,HK01,5565.0,5539287.99
HK,T3800229,HK02,4963.0,3863568.31
HK,T3800229,HK03,7187.0,6016428.64
HK,T3800229,HK04,7003.0,7217914.15
HK,T5727593,HK10,3415.0,2778450.93
HK,T5727593,HK11,5739.0,7098265.61
HK,T5727593,HK12,3892.0,2942229.76
HK,T5727593,HK13,5980.0,7154098.66
HK,T5727593,HK14,6802.0,7025226.59
HK,T6189452,HK20,7400.0,8958566.86
HK,T6189452,HK21,5143.0,5363933.64
HK,T6189452,HK22,2904.0,3179600.37
HK,T6189452,HK23,2215.0,1871578.31
LON,T2121033,LON20,5576.0,5199692.55
LON,T2121033,LON21,5841.0,5365084.88
LON,T2121033,LON22,10381.0,12516104.89
LON,T2121033,LON23,2490.0,2319032.61
LON,T2121033,LON24,5132.0,5235770.53
LON,T2121033,LON25,6074.0,5833126.43
LON,T6326422,LON00,5601.0,7824939.26
LON,T6326422,LON01,1970.0,2011648.47
LON,T6326422,LON02,8052.0,8717999.27
LON,T6326422,LON03,2700.0,2258012.31
LON,T6326422,LON04,3308.0,3023036.07
LON,T7210244,LON10,5569.0,5941689.59
LON,T7210244,LON11,4433.0,4788657.17
LON,T7210244,LON12,7149.0,7627587.45
LON,T7210244,LON13,4369.0,4097072.72
LON,T7210244,LON14,4388.0,5737596.48
NY,T1087795,NY20,2140.0,1573230.11
NY,T1087795,NY21,2403.0,3341536.24
NY,T1087795,NY22,1258.0,1380549.0
NY,T1087795,NY23,7978.0,8023061.87
NY,T2078717,NY00,3451.0,4432663.71
NY,T2078717,NY01,2062.0,2239024.91
NY,T2078717,NY02,4345.0,5417492.9
NY,T2078717,NY03,3102.0,3079821.32
NY,T2078717,NY04,8422.0,7910768.35
NY,T4439875,NY40,3962.0,3213591.45
NY,T4439875,NY41,6998.0,6246498.46
NY,T4439875,NY42,4862.0,6373290.95
NY,T4439875,NY43,2638.0,2542402.59
NY,T4439875,NY44,2592.0,2691838.29
NY,T4848015,NY30,2985.0,3353074.02
NY,T4848015,NY31,2715.0,2125185.56
NY,T4848015,NY32,2557.0,2598927.22
NY,T4848015,NY33,4824.0,4971153.52
NY,T4848015,NY34,4028.0,4685990.12
NY,T4848015,NY35,5326.0,4880025.81
NY,T7375392,NY10,5206.0,4319131.66
NY,T7375392,NY11,3799.0,2926314.85
NY,T7375392,NY12,4730.0,3990915.4
NY,T7375392,NY13,6589.0,7292904.53
SG,T5983248,SG00,2150.0,2658375.97
SG,T5983248,SG01,4861.0,4341415.78
SG,T5983248,SG02,5534.0,6531790.93
SG,T5983248,SG03,4945.0,5647446.39
SG,T5983248,SG04,3047.0,3532427.8
SG,T5983248,SG05,3597.0,3729723.89
SG,T9277645,SG10,7943.0,8974182.29
SG,T9277645,SG11,7275.0,9318816.38
SG,T9277645,SG12,5969.0,7192082.65
SG,T9277645,SG13,7438.0,9303060.07
SG,T9277645,SG14,2695.0,2904629.36
SG,T9564084,SG20,2028.0,2213743.4
SG,T9564084,SG21,2612.0,2615563.8
SG,T9564084,SG22,4451.0,3946695.44
SG,T9564084,SG23,2762.0,2856539.07
SYD,T5521536,SYD10,2811.0,3893468.75
SYD,T5521536,SYD11,3702.0,3649174.84
SYD,T5521536,SYD12,4441.0,5081130.18
SYD,T5521536,SYD13,8043.0,9025679.76
SYD,T8621521,SYD00,2719.0,3201786.58
SYD,T8621521,SYD01,3902.0,4471515.16
SYD,T8621521,SYD02,5642.0,5932362.33
SYD,T8621521,SYD03,2200.0,2440878.64
TOK,T2697765,TOK00,3433.0,3355677.04
TOK,T2697765,TOK01,5065.0,4961949.58
TOK,T2697765,TOK02,7438.0,9624757.05
TOK,T2697765,TOK03,4443.0,4721590.22
TOK,T2697765,TOK04,5997.0,7052039.9
TOK,T3121807,TOK20,4243.0,3752283.25
TOK,T3121807,TOK21,7456.0,6916710.21
TOK,T3121807,TOK22,3691.0,5075979.16
TOK,T3121807,TOK23,1962.0,2287240.41
TOK,T3121807,TOK24,3131.0,3314257.74
TOK,T3121807,TOK25,2154.0,2723424.58
TOK,T3937126,TOK30,4649.0,7465488.4
TOK,T3937126,TOK31,1015.0,1137036.72
TOK,T3937126,TOK32,3459.0,4375707.98
TOK,T3937126,TOK33,4313.0,3938462.31
TOK,T9108891,TOK10,5056.0,6786709.95
TOK,T9108891,TOK11,3573.0,4021778.16
TOK,T9108891,TOK12,8387.0,8850126.29
TOK,T9108891,TOK13,2961.0,3363281.89
