Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,6090.0,4943577.91
HK,T3179669,HK31,2365.0,1622657.25
HK,T3179669,HK32,1008.0,958466.86
HK,T3179669,HK33,5388.0,5002975.09
HK,T3800229,HK00,4868.0,3846185.42
HK,T3800229,HK01,5565.0,4777852.18
HK,T3800229,HK02,5602.0,5151981.36
HK,T3800229,HK03,8949.0,8960590.77
HK,T3800229,HK04,7951.0,7825162.4
HK,T5727593,HK10,3244.0,3064747.41
HK,T5727593,HK11,5739.0,4849653.53
HK,T5727593,HK12,3998.0,2876995.81
HK,T5727593,HK13,6761.0,8080350.38
HK,T5727593,HK14,8280.0,7585309.93
HK,T6189452,HK20,6756.0,5464069.09
HK,T6189452,HK21,6051.0,5701461.79
HK,T6189452,HK22,3441.0,3287363.12
HK,T6189452,HK23,2535.0,2349343.72
LON,T2121033,LON20,7096.0,6823246.16
LON,T2121033,LON21,5919.0,6135925.4
LON,T2121033,LON22,11886.0,11880676.8
LON,T2121033,LON23,2671.0,2527851.65
LON,T2121033,LON24,5143.0,4312473.83
LON,T2121033,LON25,6852.0,5840498.65
LON,T6326422,LON00,5601.0,5019928.27
LON,T6326422,LON01,2841.0,2408598.18
LON,T6326422,LON02,9031.0,8410490.28
LON,T6326422,LON03,5145.0,5211448.57
LON,T6326422,LON04,3887.0,3634865.44
LON,T7210244,LON10,5569.0,5516710.01
LON,T7210244,LON11,5372.0,4649887.38
LON,T7210244,LON12,8437.0,8154732.62
LON,T7210244,LON13,5264.0,3330763.45
LON,T7210244,LON14,5815.0,5550747.55
NY,T1087795,NY20,2140.0,2271523.68
NY,T1087795,NY21,2403.0,2179553.28
NY,T1087795,NY22,1847.0,1924267.03
NY,T1087795,NY23,7359.0,5799668.43
NY,T2078717,NY00,3451.0,3362915.71
NY,T2078717,NY01,2680.0,2944774.21
NY,T2078717,NY02,4889.0,4299340.92
NY,T2078717,NY03,3102.0,3462063.8
NY,T2078717,NY04,8422.0,7295085.54
NY,T4439875,NY40,3962.0,3247535.89
NY,T4439875,NY41,7813.0,6919344.46
NY,T4439875,NY42,4327.0,3310326.74
NY,T4439875,NY43,2638.0,2229548.09
NY,T4439875,NY44,2592.0,2329720.68
NY,T4848015,NY30,2985.0,3354880.5
NY,T4848015,NY31,2425.0,2097099.83
NY,T4848015,NY32,2557.0,2242185.3
NY,T4848015,NY33,4824.0,5427745.04
NY,T4848015,NY34,5283.0,4968230.69
NY,T4848015,NY35,5326.0,5637142.9
NY,T7375392,NY10,4711.0,4395616.71
NY,T7375392,NY11,3114.0,2532606.97
NY,T7375392,NY12,4730.0,4072654.72
NY,T7375392,NY13,6589.0,6121384.0
SG,T5983248,SG00,3854.0,3703683.96
SG,T5983248,SG01,7519.0,7440947.82
SG,T5983248,SG02,5719.0,4652732.26
SG,T5983248,SG03,5512.0,5579807.96
SG,T5983248,SG04,5099.0,5064334.8
SG,T5983248,SG05,7030.0,6623297.99
SG,T9277645,SG10,8052.0,8231118.07
SG,T9277645,SG11,7275.0,6832517.6
SG,T9277645,SG12,7923.0,7019659.32
SG,T9277645,SG13,8377.0,7904896.29
SG,T9277645,SG14,4068.0,3735626.95
SG,T9564084,SG20,3799.0,3906254.81
SG,T9564084,SG21,2612.0,2560030.94
SG,T9564084,SG22,4802.0,4440315.53
SG,T9564084,SG23,2762.0,2655004.09
SYD,T5521536,SYD10,2811.0,2804684.0
SYD,T5521536,SYD11,4317.0,4588657.07
SYD,T5521536,SYD12,5367.0,5175763.75
SYD,T5521536,SYD13,10395.0,7262783.63
SYD,T8621521,SYD00,3886.0,4063526.5
SYD,T8621521,SYD01,4189.0,3776287.47
SYD,T8621521,SYD02,5509.0,5734668.22
SYD,T8621521,SYD03,2960.0,2579545.2
TOK,T2697765,TOK00,4609.0,3920363.92
TOK,T2697765,TOK01,5087.0,4449061.38
TOK,T2697765,TOK02,9070.0,8313165.63
TOK,T2697765,TOK03,3832.0,3457111.08
TOK,T2697765,TOK04,5997.0,4444955.38
TOK,T3121807,TOK20,6054.0,6243962.6
TOK,T3121807,TOK21,9034.0,8255130.75
TOK,T3121807,TOK22,4135.0,4275136.52
TOK,T3121807,TOK23,2084.0,1682846.78
TOK,T3121807,TOK24,3131.0,2378203.69
TOK,T3121807,TOK25,2891.0,1769652.57
TOK,T3937126,TOK30,5493.0,4468309.37
TOK,T3937126,TOK31,1926.0,1666860.01
TOK,T3937126,TOK32,4473.0,4038720.11
TOK,T3937126,TOK33,4313.0,4579829.7
TOK,T9108891,TOK10,5982.0,5309859.57
TOK,T9108891,TOK11,4538.0,4332574.9
TOK,T9108891,TOK12,10096.0,9665753.17
TOK,T9108891,TOK13,3359.0,2955285.5
