AftEvent,Desk,Trader,Book,BondID,Positions,NV
4000,HK,T3179669,HK30,B04712,757.0,484480.0
4000,HK,T3179669,HK30,B16316,759.0,787083.0
4000,HK,T3179669,HK30,B17266,789.0,1204821.21
4000,HK,T3179669,HK30,B27558,873.0,625946.68
4000,HK,T3179669,HK30,B28659,945.0,849489.58
4000,HK,T3179669,HK30,B34105,738.0,659746.26
4000,HK,T3179669,HK30,B45918,510.0,269079.32
4000,HK,T3179669,HK31,B03283,231.0,127732.26
4000,HK,T3179669,HK31,B16316,164.0,170068.0
4000,HK,T3179669,HK31,B38589,98.0,114222.11
4000,HK,T3179669,HK31,B44611,575.0,759575.0
4000,HK,T3179669,HK31,B45214,397.0,382659.14
4000,HK,T3179669,HK31,B48886,630.0,867188.99
4000,HK,T3179669,HK32,B31214,355.0,226490.0
4000,HK,T3179669,HK32,B34105,653.0,583759.22
4000,HK,T3179669,HK33,B02473,476.0,259442.7
4000,HK,T3179669,HK33,B08521,835.0,662155.0
4000,HK,T3179669,HK33,B23639,208.0,152652.65
4000,HK,T3179669,HK33,B38589,450.0,524489.27
4000,HK,T3179669,HK33,B45193,837.0,1557168.06
4000,HK,T3179669,HK33,B45918,553.0,291766.4
4000,HK,T3800229,HK00,B02473,256.0,139532.21
4000,HK,T3800229,HK00,B16316,733.0,760121.0
4000,HK,T3800229,HK00,B17901,655.0,1623044.6
4000,HK,T3800229,HK00,B18694,892.0,775168.74
4000,HK,T3800229,HK00,B28917,108.0,191138.61
4000,HK,T3800229,HK00,B44611,444.0,586524.0
4000,HK,T3800229,HK01,B05609,704.0,983488.0
4000,HK,T3800229,HK01,B08521,664.0,526552.0
4000,HK,T3800229,HK01,B11094,259.0,236726.0
4000,HK,T3800229,HK01,B38589,836.0,974384.51
4000,HK,T3800229,HK01,B44611,263.0,347423.0
4000,HK,T3800229,HK01,B45214,296.0,285307.57
4000,HK,T3800229,HK02,B05609,709.0,990473.0
4000,HK,T3800229,HK02,B18694,855.0,743014.88
4000,HK,T3800229,HK02,B27558,495.0,354918.22
4000,HK,T3800229,HK02,B45214,865.0,833753.54
4000,HK,T3800229,HK02,B47982,739.0,447090.7
4000,HK,T3800229,HK02,B48886,512.0,704763.12
4000,HK,T3800229,HK03,B03283,1552.0,858183.81
4000,HK,T3800229,HK03,B18694,999.0,868154.23
4000,HK,T3800229,HK03,B25841,509.0,462172.0
4000,HK,T3800229,HK03,B28659,1214.0,1091301.95
4000,HK,T3800229,HK03,B31214,863.0,550594.0
4000,HK,T3800229,HK03,B45193,290.0,539520.59
4000,HK,T3800229,HK03,B48886,495.0,681362.78
4000,HK,T3800229,HK04,B02473,594.0,323758.32
4000,HK,T3800229,HK04,B04712,836.0,535040.0
4000,HK,T3800229,HK04,B11094,795.0,726630.0
4000,HK,T3800229,HK04,B18694,436.0,378894.14
4000,HK,T3800229,HK04,B25841,455.0,413140.0
4000,HK,T3800229,HK04,B27023,994.0,543718.0
4000,HK,T3800229,HK04,B35479,955.0,1420363.43
4000,HK,T3800229,HK04,B35648,117.0,131936.4
4000,HK,T3800229,HK04,B45214,124.0,119520.74
4000,HK,T5727593,HK10,B17266,743.0,1134578.15
4000,HK,T5727593,HK10,B18694,790.0,686528.37
4000,HK,T5727593,HK10,B25841,353.0,320524.0
4000,HK,T5727593,HK10,B38589,804.0,937087.49
4000,HK,T5727593,HK10,B45193,696.0,1294849.43
4000,HK,T5727593,HK10,B47982,29.0,506380.13
4000,HK,T5727593,HK11,B02473,651.0,354826.04
4000,HK,T5727593,HK11,B10340,854.0,777413.42
4000,HK,T5727593,HK11,B17901,585.0,1449589.46
4000,HK,T5727593,HK11,B23639,648.0,475571.72
4000,HK,T5727593,HK11,B27023,526.0,287722.0
4000,HK,T5727593,HK11,B27558,717.0,514093.66
4000,HK,T5727593,HK11,B31538,616.0,651728.0
4000,HK,T5727593,HK11,B48886,280.0,385417.33
4000,HK,T5727593,HK12,B08521,718.0,569374.0
4000,HK,T5727593,HK12,B16316,215.0,222955.0
4000,HK,T5727593,HK12,B23639,600.0,440344.19
4000,HK,T5727593,HK12,B28659,681.0,612171.85
4000,HK,T5727593,HK12,B45214,871.0,839536.8
4000,HK,T5727593,HK13,B02473,734.0,400065.0
4000,HK,T5727593,HK13,B18694,1048.0,910736.37
4000,HK,T5727593,HK13,B27023,639.0,349533.0
4000,HK,T5727593,HK13,B31214,1527.0,974226.0
4000,HK,T5727593,HK13,B34105,202.0,180580.95
4000,HK,T5727593,HK13,B47982,1830.0,1107139.36
