Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,5697.0,5482319.13
HK,T3179669,HK31,2365.0,2662910.07
HK,T3179669,HK32,1008.0,749455.7
HK,T3179669,HK33,5388.0,5555689.41
HK,T3800229,HK00,5584.0,4632119.89
HK,T3800229,HK01,5565.0,5366094.83
HK,T3800229,HK02,4777.0,4869484.3
HK,T3800229,HK03,8028.0,8060174.4
HK,T3800229,HK04,7951.0,8235266.45
HK,T5727593,HK10,3629.0,3182596.82
HK,T5727593,HK11,5739.0,5372705.09
HK,T5727593,HK12,4545.0,4784099.02
HK,T5727593,HK13,6333.0,5433069.14
HK,T5727593,HK14,8863.0,9189886.98
HK,T6189452,HK20,6756.0,7095620.39
HK,T6189452,HK21,6051.0,5745243.36
HK,T6189452,HK22,3441.0,3600662.9
HK,T6189452,HK23,2535.0,2850050.83
LON,T2121033,LON20,7343.0,6993252.36
LON,T2121033,LON21,5919.0,5676647.85
LON,T2121033,LON22,12245.0,11095679.18
LON,T2121033,LON23,2671.0,2909089.33
LON,T2121033,LON24,4573.0,4287041.78
LON,T2121033,LON25,6852.0,6371687.3
LON,T6326422,LON00,5601.0,5045895.72
LON,T6326422,LON01,3498.0,3865978.81
LON,T6326422,LON02,9031.0,9524589.94
LON,T6326422,LON03,5145.0,4647019.09
LON,T6326422,LON04,3887.0,2933287.49
LON,T7210244,LON10,5569.0,4705589.97
LON,T7210244,LON11,5372.0,5587112.63
LON,T7210244,LON12,8437.0,8118336.43
LON,T7210244,LON13,5264.0,5410427.96
LON,T7210244,LON14,5815.0,5739528.98
NY,T1087795,NY20,2140.0,2133186.28
NY,T1087795,NY21,2403.0,3021898.48
NY,T1087795,NY22,1847.0,1678775.31
NY,T1087795,NY23,7359.0,9456461.26
NY,T2078717,NY00,3451.0,3138511.94
NY,T2078717,NY01,2680.0,2481777.45
NY,T2078717,NY02,4889.0,4204333.37
NY,T2078717,NY03,3102.0,3444261.03
NY,T2078717,NY04,8422.0,6799912.74
NY,T4439875,NY40,3962.0,3085803.73
NY,T4439875,NY41,7813.0,8487797.18
NY,T4439875,NY42,5149.0,4364656.81
NY,T4439875,NY43,1748.0,1917755.79
NY,T4439875,NY44,2592.0,2735315.49
NY,T4848015,NY30,2985.0,2825771.58
NY,T4848015,NY31,2425.0,2221256.97
NY,T4848015,NY32,2557.0,2712462.87
NY,T4848015,NY33,4824.0,5093752.29
NY,T4848015,NY34,5283.0,5553238.83
NY,T4848015,NY35,5326.0,4963519.53
NY,T7375392,NY10,4711.0,5059578.45
NY,T7375392,NY11,3114.0,3122388.5
NY,T7375392,NY12,4730.0,4799699.94
NY,T7375392,NY13,6589.0,6627343.2
SG,T5983248,SG00,3854.0,3752946.72
SG,T5983248,SG01,8595.0,7915884.06
SG,T5983248,SG02,5719.0,6472171.28
SG,T5983248,SG03,5512.0,5340279.37
SG,T5983248,SG04,6023.0,6276959.64
SG,T5983248,SG05,7030.0,7170182.08
SG,T9277645,SG10,8052.0,9652810.61
SG,T9277645,SG11,8121.0,8749370.95
SG,T9277645,SG12,8118.0,8656560.71
SG,T9277645,SG13,9693.0,11122073.48
SG,T9277645,SG14,5222.0,5673060.54
SG,T9564084,SG20,4239.0,4340166.62
SG,T9564084,SG21,2612.0,2147641.22
SG,T9564084,SG22,6642.0,7513052.77
SG,T9564084,SG23,3495.0,3239941.92
SYD,T5521536,SYD10,3638.0,3190163.64
SYD,T5521536,SYD11,4317.0,4420743.5
SYD,T5521536,SYD12,6149.0,5101786.12
SYD,T5521536,SYD13,12273.0,12614197.35
SYD,T8621521,SYD00,3886.0,4061358.14
SYD,T8621521,SYD01,4836.0,4265415.99
SYD,T8621521,SYD02,5509.0,4544194.94
SYD,T8621521,SYD03,4316.0,4097814.24
TOK,T2697765,TOK00,4609.0,4108670.02
TOK,T2697765,TOK01,4519.0,4063899.8
TOK,T2697765,TOK02,9070.0,7025585.28
TOK,T2697765,TOK03,3832.0,4647697.78
TOK,T2697765,TOK04,5607.0,6979742.73
TOK,T3121807,TOK20,6054.0,5030031.28
TOK,T3121807,TOK21,9111.0,8043692.51
TOK,T3121807,TOK22,4135.0,4001730.7
TOK,T3121807,TOK23,2084.0,2266510.3
TOK,T3121807,TOK24,3131.0,2977777.17
TOK,T3121807,TOK25,2891.0,3523281.43
TOK,T3937126,TOK30,5493.0,5463470.7
TOK,T3937126,TOK31,1926.0,2200149.79
TOK,T3937126,TOK32,5084.0,4965503.86
TOK,T3937126,TOK33,4313.0,3946638.29
TOK,T9108891,TOK10,5982.0,6180973.2
TOK,T9108891,TOK11,4538.0,5052123.3
TOK,T9108891,TOK12,10096.0,9939460.63
TOK,T9108891,TOK13,3359.0,3522458.77
