Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,5371.0,4358907.55
HK,T3179669,HK31,1465.0,1545843.95
HK,T3179669,HK32,1008.0,981221.45
HK,T3179669,HK33,2909.0,2749611.31
HK,T3800229,HK00,3088.0,2629373.08
HK,T3800229,HK01,3022.0,3230910.73
HK,T3800229,HK02,3320.0,3514177.21
HK,T3800229,HK03,5922.0,5372579.12
HK,T3800229,HK04,4029.0,4315698.99
HK,T5727593,HK10,2690.0,2411733.1
HK,T5727593,HK11,4877.0,4359654.87
HK,T5727593,HK12,2485.0,2054024.56
HK,T5727593,HK13,5503.0,5449254.32
HK,T5727593,HK14,3762.0,4386450.37
HK,T6189452,HK20,5647.0,7455684.71
HK,T6189452,HK21,2992.0,3282531.01
HK,T6189452,HK22,2064.0,2621116.27
HK,T6189452,HK23,1231.0,1060745.55
LON,T2121033,LON20,3565.0,2654644.75
LON,T2121033,LON21,4162.0,3890717.87
LON,T2121033,LON22,4683.0,4960464.27
LON,T2121033,LON23,572.0,580158.63
LON,T2121033,LON24,2690.0,2667679.59
LON,T2121033,LON25,2867.0,3233641.9
LON,T6326422,LON00,2821.0,2758813.01
LON,T6326422,LON01,1389.0,970784.9
LON,T6326422,LON02,5736.0,5359071.87
LON,T6326422,LON03,216.0,151200.0
LON,T6326422,LON04,1901.0,2023642.4
LON,T7210244,LON10,4449.0,4119846.07
LON,T7210244,LON11,2658.0,2715311.21
LON,T7210244,LON12,6120.0,7751610.37
LON,T7210244,LON13,3879.0,4194318.76
LON,T7210244,LON14,1332.0,1310635.86
NY,T1087795,NY20,1323.0,1225282.75
NY,T1087795,NY21,1763.0,2431741.2
NY,T1087795,NY22,539.0,526337.33
NY,T1087795,NY23,5803.0,6518336.0
NY,T2078717,NY00,2134.0,1726976.49
NY,T2078717,NY01,2114.0,2536848.51
NY,T2078717,NY02,4345.0,4678058.78
NY,T2078717,NY03,2043.0,1939303.07
NY,T2078717,NY04,6675.0,6909190.38
NY,T4439875,NY40,2409.0,1892954.13
NY,T4439875,NY41,6449.0,6461742.15
NY,T4439875,NY42,2220.0,2643599.15
NY,T4439875,NY43,2655.0,2722185.96
NY,T4439875,NY44,1388.0,1919409.78
NY,T4848015,NY30,1926.0,1955829.29
NY,T4848015,NY31,2581.0,2616545.58
NY,T4848015,NY32,1940.0,1863336.71
NY,T4848015,NY33,2859.0,3260926.99
NY,T4848015,NY34,1896.0,2049275.64
NY,T4848015,NY35,4704.0,5033324.3
NY,T7375392,NY10,3549.0,3893553.77
NY,T7375392,NY11,2873.0,2854974.71
NY,T7375392,NY12,2635.0,2675356.74
NY,T7375392,NY13,3504.0,2899609.78
SG,T5983248,SG00,1952.0,2819205.42
SG,T5983248,SG01,4055.0,3686919.29
SG,T5983248,SG02,2668.0,3076440.2
SG,T5983248,SG03,3398.0,4687245.78
SG,T5983248,SG04,2517.0,2313204.43
SG,T5983248,SG05,131.0,93927.0
SG,T9277645,SG10,5502.0,6475999.95
SG,T9277645,SG11,5342.0,6424600.82
SG,T9277645,SG12,3548.0,2924991.62
SG,T9277645,SG13,4320.0,4225499.22
SG,T9277645,SG14,1615.0,1470708.65
SG,T9564084,SG20,420.0,611100.0
SG,T9564084,SG21,2440.0,2627642.92
SG,T9564084,SG22,3405.0,3109981.61
SG,T9564084,SG23,902.0,703338.42
SYD,T5521536,SYD10,3138.0,4010276.59
SYD,T5521536,SYD11,3774.0,3688330.89
SYD,T5521536,SYD12,2887.0,3255157.04
SYD,T5521536,SYD13,3979.0,3799446.37
SYD,T8621521,SYD00,2926.0,3311937.45
SYD,T8621521,SYD01,2848.0,3155738.07
SYD,T8621521,SYD02,5262.0,5968423.31
SYD,T8621521,SYD03,874.0,708620.35
TOK,T2697765,TOK00,919.0,935530.05
TOK,T2697765,TOK01,3289.0,3385540.74
TOK,T2697765,TOK02,4154.0,4054398.44
TOK,T2697765,TOK03,2031.0,1942049.76
TOK,T2697765,TOK04,3558.0,4504520.84
TOK,T3121807,TOK20,1661.0,2053657.47
TOK,T3121807,TOK21,4496.0,4688662.44
TOK,T3121807,TOK22,2337.0,2259099.29
TOK,T3121807,TOK23,1729.0,1807506.06
TOK,T3121807,TOK24,2314.0,1924411.8
TOK,T3121807,TOK25,1141.0,1143674.52
TOK,T3937126,TOK30,2803.0,2373672.12
TOK,T3937126,TOK31,725.0,681876.63
TOK,T3937126,TOK32,2499.0,2920815.33
TOK,T3937126,TOK33,2683.0,2741098.45
TOK,T9108891,TOK10,4186.0,4517014.38
TOK,T9108891,TOK11,2135.0,2876959.9
TOK,T9108891,TOK12,4668.0,4649327.21
TOK,T9108891,TOK13,1882.0,2407267.24
