Desk,Currency,Positions,NV
HK,AUZ,10886.0,9393724.13
HK,CNX,15389.0,16984510.08
HK,HKX,14723.0,12699411.42
HK,JPX,19451.0,21422781.36
HK,SGX,19759.0,23739237.49
HK,USX,14853.0,12997305.0
LON,AUZ,12487.0,10457470.17
LON,CNX,18541.0,19284198.65
LON,HKX,13551.0,12990828.01
LON,JPX,11643.0,12856693.82
LON,SGX,18781.0,21811253.45
LON,USX,17959.0,15708647.0
NY,AUZ,10481.0,8822628.28
NY,CNX,19393.0,21435251.61
NY,HKX,22730.0,20981172.93
NY,JPX,14694.0,16488649.61
NY,SGX,11697.0,14411715.28
NY,USX,20069.0,16896533.0
SG,AUZ,12814.0,10830604.49
SG,CNX,10633.0,12500060.08
SG,HKX,11344.0,10480421.86
SG,JPX,15060.0,18352084.36
SG,SGX,7956.0,9692569.21
SG,USX,18396.0,16115966.0
SYD,AUZ,3332.0,2842146.66
SYD,CNX,4378.0,5324002.43
SYD,HKX,5635.0,5475223.56
SYD,JPX,8959.0,9731448.1
SYD,SGX,9455.0,11382910.25
SYD,USX,5349.0,4742119.0
TOK,AUZ,21616.0,18375156.43
TOK,CNX,13223.0,14970864.36
TOK,HKX,17425.0,15885973.32
TOK,JPX,14705.0,14816391.34
TOK,SGX,13410.0,16202974.27
TOK,USX,13842.0,11497142.0
