AftEvent,Desk,Trader,Book,BondID,Positions,NV
6000,HK,T3179669,HK30,B04712,757.0,804691.0
6000,HK,T3179669,HK30,B16316,759.0,516879.0
6000,HK,T3179669,HK30,B17266,789.0,1064260.15
6000,HK,T3179669,HK30,B25841,536.0,355009.66
6000,HK,T3179669,HK30,B27558,37.0,24990.22
6000,HK,T3179669,HK30,B28659,1134.0,1045309.26
6000,HK,T3179669,HK30,B34105,738.0,855430.02
6000,HK,T3179669,HK30,B45214,830.0,952010.0
6000,HK,T3179669,HK30,B45918,510.0,456303.22
6000,HK,T3179669,HK31,B03283,231.0,368553.08
6000,HK,T3179669,HK31,B16316,164.0,111684.0
6000,HK,T3179669,HK31,B38589,98.0,135351.54
6000,HK,T3179669,HK31,B44611,575.0,428375.0
6000,HK,T3179669,HK31,B45214,166.0,190402.0
6000,HK,T3179669,HK31,B48886,630.0,547073.6
6000,HK,T3179669,HK32,B31214,355.0,336895.0
6000,HK,T3179669,HK32,B34105,653.0,756904.88
6000,HK,T3179669,HK33,B02473,476.0,413076.41
6000,HK,T3179669,HK33,B05609,677.0,467974.98
6000,HK,T3179669,HK33,B08521,835.0,1036774.02
6000,HK,T3179669,HK33,B23639,208.0,204803.67
6000,HK,T3179669,HK33,B27558,204.0,137783.92
6000,HK,T3179669,HK33,B28917,198.0,169576.0
6000,HK,T3179669,HK33,B38589,450.0,621512.2
6000,HK,T3179669,HK33,B45193,1159.0,839280.55
6000,HK,T3179669,HK33,B45214,628.0,720316.0
6000,HK,T3179669,HK33,B45918,553.0,494775.84
6000,HK,T3800229,HK00,B02473,256.0,222158.74
6000,HK,T3800229,HK00,B16316,733.0,499173.0
6000,HK,T3800229,HK00,B17901,655.0,620681.23
6000,HK,T3800229,HK00,B18694,892.0,972787.38
6000,HK,T3800229,HK00,B25841,585.0,387463.9
6000,HK,T3800229,HK00,B28659,602.0,554917.26
6000,HK,T3800229,HK00,B28917,108.0,92496.0
6000,HK,T3800229,HK00,B34105,412.0,477557.14
6000,HK,T3800229,HK00,B44611,625.0,465625.0
6000,HK,T3800229,HK01,B05609,704.0,486638.68
6000,HK,T3800229,HK01,B08521,664.0,824452.63
6000,HK,T3800229,HK01,B11094,259.0,335345.2
6000,HK,T3800229,HK01,B17266,857.0,1155983.46
6000,HK,T3800229,HK01,B28659,619.0,570587.68
6000,HK,T3800229,HK01,B28917,1067.0,913826.22
6000,HK,T3800229,HK01,B38589,836.0,1154631.54
6000,HK,T3800229,HK01,B44611,263.0,195935.0
6000,HK,T3800229,HK01,B45214,296.0,339512.0
6000,HK,T3800229,HK02,B05609,709.0,490094.92
6000,HK,T3800229,HK02,B08521,389.0,483000.11
6000,HK,T3800229,HK02,B17266,788.0,1062911.28
6000,HK,T3800229,HK02,B18694,855.0,932436.33
6000,HK,T3800229,HK02,B27558,495.0,334328.63
6000,HK,T3800229,HK02,B45214,865.0,992155.0
6000,HK,T3800229,HK02,B47982,989.0,1275864.44
6000,HK,T3800229,HK02,B48886,512.0,444605.84
6000,HK,T3800229,HK03,B03283,1552.0,2476166.17
6000,HK,T3800229,HK03,B18694,999.0,1089478.24
6000,HK,T3800229,HK03,B25841,509.0,337126.71
6000,HK,T3800229,HK03,B28659,1214.0,1119052.42
6000,HK,T3800229,HK03,B31214,1278.0,1212822.0
6000,HK,T3800229,HK03,B35479,850.0,921857.23
6000,HK,T3800229,HK03,B38589,765.0,1056570.73
6000,HK,T3800229,HK03,B45193,290.0,210001.17
6000,HK,T3800229,HK03,B45918,997.0,892028.06
6000,HK,T3800229,HK03,B48886,495.0,429843.54
6000,HK,T3800229,HK04,B02473,594.0,515477.71
6000,HK,T3800229,HK04,B04712,1356.0,1441428.0
6000,HK,T3800229,HK04,B05609,491.0,339402.83
6000,HK,T3800229,HK04,B08521,163.0,202388.22
6000,HK,T3800229,HK04,B11094,795.0,1029341.44
