Desk,Currency,Positions,NV
HK,AUZ,10088.0,11026304.28
HK,CNX,13464.0,16908410.87
HK,HKX,14467.0,12527312.58
HK,JPX,18538.0,18388932.4
HK,SGX,19525.0,18139792.48
HK,USX,14268.0,14410509.0
LON,AUZ,12144.0,13322549.71
LON,CNX,16162.0,21841750.66
LON,HKX,11450.0,9772577.91
LON,JPX,10602.0,10720239.74
LON,SGX,17060.0,16726103.11
LON,USX,17058.0,16807037.0
NY,AUZ,10351.0,12099503.75
NY,CNX,18795.0,24144313.16
NY,HKX,22870.0,19478222.41
NY,JPX,15313.0,14549040.45
NY,SGX,12192.0,11470867.53
NY,USX,19451.0,20188134.0
SG,AUZ,11880.0,14140308.37
SG,CNX,10299.0,12426470.28
SG,HKX,10889.0,10816017.57
SG,JPX,15078.0,13342948.53
SG,SGX,6991.0,6862265.29
SG,USX,16496.0,16140379.0
SYD,AUZ,3332.0,4329932.91
SYD,CNX,4378.0,5552832.29
SYD,HKX,4352.0,4482382.78
SYD,JPX,8474.0,8197727.19
SYD,SGX,9283.0,9301033.72
SYD,USX,4106.0,3450506.0
TOK,AUZ,19178.0,22913942.54
TOK,CNX,12574.0,15749751.43
TOK,HKX,17217.0,14668841.54
TOK,JPX,13360.0,14202552.89
TOK,SGX,12018.0,11609665.33
TOK,USX,12932.0,14668373.0
