Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,6090.0,6074882.53
HK,T3179669,HK31,1864.0,1781439.22
HK,T3179669,HK32,1008.0,1093799.88
HK,T3179669,HK33,5388.0,5105873.59
HK,T3800229,HK00,4868.0,4292859.65
HK,T3800229,HK01,5565.0,5976912.41
HK,T3800229,HK02,5602.0,6015396.55
HK,T3800229,HK03,8949.0,9744946.27
HK,T3800229,HK04,7166.0,6931144.81
HK,T5727593,HK10,3716.0,4094660.93
HK,T5727593,HK11,5739.0,5198982.44
HK,T5727593,HK12,3998.0,4455990.88
HK,T5727593,HK13,6761.0,7139739.7
HK,T5727593,HK14,8280.0,8762279.54
HK,T6189452,HK20,7400.0,7630327.07
HK,T6189452,HK21,6213.0,6036082.45
HK,T6189452,HK22,3441.0,3468129.7
HK,T6189452,HK23,3013.0,3433521.86
LON,T2121033,LON20,6820.0,6568176.98
LON,T2121033,LON21,5807.0,5879384.55
LON,T2121033,LON22,10882.0,10402082.79
LON,T2121033,LON23,2671.0,2388284.77
LON,T2121033,LON24,4840.0,4811946.72
LON,T2121033,LON25,6074.0,6084494.92
LON,T6326422,LON00,5601.0,5662656.54
LON,T6326422,LON01,2841.0,2820558.4
LON,T6326422,LON02,9031.0,9129775.63
LON,T6326422,LON03,3874.0,3919742.15
LON,T6326422,LON04,3887.0,4158223.74
LON,T7210244,LON10,5569.0,4889241.51
LON,T7210244,LON11,5372.0,5243689.36
LON,T7210244,LON12,8614.0,9429954.67
LON,T7210244,LON13,5264.0,5061457.25
LON,T7210244,LON14,5815.0,6659421.12
NY,T1087795,NY20,2140.0,2503808.8
NY,T1087795,NY21,2403.0,2257592.05
NY,T1087795,NY22,1258.0,994324.36
NY,T1087795,NY23,7359.0,7269394.78
NY,T2078717,NY00,3451.0,3656563.31
NY,T2078717,NY01,2680.0,2192761.19
NY,T2078717,NY02,5010.0,4650249.49
NY,T2078717,NY03,3102.0,3130248.83
NY,T2078717,NY04,8422.0,8965503.02
NY,T4439875,NY40,3962.0,3697219.41
NY,T4439875,NY41,6998.0,7590230.42
NY,T4439875,NY42,4327.0,4077627.96
NY,T4439875,NY43,2638.0,2346072.78
NY,T4439875,NY44,2592.0,2879290.18
NY,T4848015,NY30,2985.0,2901400.34
NY,T4848015,NY31,2715.0,2860211.95
NY,T4848015,NY32,2557.0,2504810.19
NY,T4848015,NY33,4824.0,4800556.27
NY,T4848015,NY34,4486.0,4326114.27
NY,T4848015,NY35,5326.0,5216294.08
NY,T7375392,NY10,4711.0,4672578.19
NY,T7375392,NY11,3799.0,4577678.54
NY,T7375392,NY12,4730.0,4970549.65
NY,T7375392,NY13,6589.0,5994870.65
SG,T5983248,SG00,3936.0,3595674.37
SG,T5983248,SG01,6352.0,6228544.08
SG,T5983248,SG02,5534.0,5986923.28
SG,T5983248,SG03,5512.0,5792472.76
SG,T5983248,SG04,4495.0,4150627.16
SG,T5983248,SG05,5405.0,5964198.91
SG,T9277645,SG10,8052.0,8940556.8
SG,T9277645,SG11,7275.0,7486954.31
SG,T9277645,SG12,6789.0,6501684.04
SG,T9277645,SG13,7438.0,7035294.45
SG,T9277645,SG14,2695.0,3320810.47
SG,T9564084,SG20,2700.0,2604792.25
SG,T9564084,SG21,2612.0,2192329.13
SG,T9564084,SG22,4646.0,5181425.34
SG,T9564084,SG23,2762.0,2989418.65
SYD,T5521536,SYD10,2811.0,2821913.83
SYD,T5521536,SYD11,3880.0,4139811.44
SYD,T5521536,SYD12,4877.0,4807967.07
SYD,T5521536,SYD13,9691.0,10087403.85
SYD,T8621521,SYD00,3342.0,3568794.97
SYD,T8621521,SYD01,4189.0,4578821.78
SYD,T8621521,SYD02,5358.0,6195963.37
SYD,T8621521,SYD03,2960.0,3297173.69
TOK,T2697765,TOK00,3433.0,3188745.48
TOK,T2697765,TOK01,5445.0,5860638.4
TOK,T2697765,TOK02,9070.0,8383409.34
TOK,T2697765,TOK03,4583.0,4714927.21
TOK,T2697765,TOK04,5997.0,5652910.88
TOK,T3121807,TOK20,5709.0,6408433.47
TOK,T3121807,TOK21,9034.0,9264379.78
TOK,T3121807,TOK22,4135.0,3829138.96
TOK,T3121807,TOK23,2084.0,1662931.63
TOK,T3121807,TOK24,3131.0,2804892.14
TOK,T3121807,TOK25,2891.0,2523182.56
TOK,T3937126,TOK30,5493.0,5196705.36
TOK,T3937126,TOK31,1926.0,1866445.52
TOK,T3937126,TOK32,4124.0,3648577.89
TOK,T3937126,TOK33,4313.0,3993529.11
TOK,T9108891,TOK10,5982.0,5615828.26
TOK,T9108891,TOK11,3573.0,3389267.42
TOK,T9108891,TOK12,9939.0,10238225.64
TOK,T9108891,TOK13,3359.0,3506332.67
