Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,5623.0,6326283.56
HK,T3179669,HK31,1864.0,2016626.8
HK,T3179669,HK32,1008.0,1013118.96
HK,T3179669,HK33,4507.0,5878942.57
HK,T3800229,HK00,3690.0,3459617.37
HK,T3800229,HK01,4740.0,5681419.96
HK,T3800229,HK02,4963.0,4983853.91
HK,T3800229,HK03,7187.0,5924265.58
HK,T3800229,HK04,6317.0,6026252.03
HK,T5727593,HK10,3415.0,3348391.25
HK,T5727593,HK11,5739.0,6237515.74
HK,T5727593,HK12,3892.0,4019773.95
HK,T5727593,HK13,5980.0,4752996.61
HK,T5727593,HK14,6802.0,8368185.55
HK,T6189452,HK20,7400.0,9801027.61
HK,T6189452,HK21,4484.0,4439207.52
HK,T6189452,HK22,2353.0,2734856.64
HK,T6189452,HK23,2215.0,2422171.79
LON,T2121033,LON20,5576.0,5591747.45
LON,T2121033,LON21,5736.0,5917241.44
LON,T2121033,LON22,9928.0,10816231.07
LON,T2121033,LON23,2490.0,3055493.55
LON,T2121033,LON24,5132.0,5399130.18
LON,T2121033,LON25,5691.0,6766391.95
LON,T6326422,LON00,4741.0,5279251.03
LON,T6326422,LON01,1849.0,1508107.49
LON,T6326422,LON02,7158.0,8540190.58
LON,T6326422,LON03,2700.0,2516273.14
LON,T6326422,LON04,3308.0,3760368.39
LON,T7210244,LON10,5569.0,5838827.89
LON,T7210244,LON11,4145.0,3833103.6
LON,T7210244,LON12,6358.0,8464671.21
LON,T7210244,LON13,4369.0,4497384.45
LON,T7210244,LON14,4278.0,5129860.54
NY,T1087795,NY20,2140.0,1870788.04
NY,T1087795,NY21,2197.0,2691488.59
NY,T1087795,NY22,1258.0,1613752.69
NY,T1087795,NY23,7978.0,8306680.92
NY,T2078717,NY00,3451.0,3613425.65
NY,T2078717,NY01,2062.0,2207914.19
NY,T2078717,NY02,4345.0,4302462.84
NY,T2078717,NY03,3102.0,3633406.93
NY,T2078717,NY04,8422.0,8697573.98
NY,T4439875,NY40,3962.0,4504706.26
NY,T4439875,NY41,6998.0,7664322.89
NY,T4439875,NY42,4862.0,5809188.9
NY,T4439875,NY43,2638.0,2771192.43
NY,T4439875,NY44,2592.0,3155111.75
NY,T4848015,NY30,2985.0,2661042.05
NY,T4848015,NY31,2715.0,2573696.19
NY,T4848015,NY32,2557.0,2842512.93
NY,T4848015,NY33,4824.0,5245321.39
NY,T4848015,NY34,4028.0,4083849.36
NY,T4848015,NY35,5326.0,4579173.94
NY,T7375392,NY10,5206.0,4345981.21
NY,T7375392,NY11,3799.0,4649520.55
NY,T7375392,NY12,4730.0,5711564.57
NY,T7375392,NY13,6589.0,7155330.64
SG,T5983248,SG00,2150.0,2840858.46
SG,T5983248,SG01,4861.0,5586355.71
SG,T5983248,SG02,4580.0,5610544.25
SG,T5983248,SG03,4945.0,5977783.45
SG,T5983248,SG04,3047.0,3188375.35
SG,T5983248,SG05,3039.0,3511099.1
SG,T9277645,SG10,7943.0,9899682.79
SG,T9277645,SG11,7275.0,8253784.93
SG,T9277645,SG12,5969.0,7181341.56
SG,T9277645,SG13,7438.0,8797746.19
SG,T9277645,SG14,2695.0,3229714.63
SG,T9564084,SG20,1816.0,2047279.61
SG,T9564084,SG21,2612.0,2673319.46
SG,T9564084,SG22,4148.0,4924854.0
SG,T9564084,SG23,2762.0,2614021.18
SYD,T5521536,SYD10,2811.0,2783106.98
SYD,T5521536,SYD11,3702.0,3709479.7
SYD,T5521536,SYD12,4441.0,4726992.94
SYD,T5521536,SYD13,8043.0,9201241.43
SYD,T8621521,SYD00,2719.0,3044174.29
SYD,T8621521,SYD01,3902.0,3899558.75
SYD,T8621521,SYD02,5262.0,5716258.4
SYD,T8621521,SYD03,2200.0,2330092.68
TOK,T2697765,TOK00,3433.0,3885592.75
TOK,T2697765,TOK01,5065.0,5414286.92
TOK,T2697765,TOK02,7438.0,10161945.66
TOK,T2697765,TOK03,4443.0,4312999.03
TOK,T2697765,TOK04,4361.0,6159002.04
TOK,T3121807,TOK20,3111.0,2971358.0
TOK,T3121807,TOK21,6900.0,6864168.66
TOK,T3121807,TOK22,3691.0,3631441.38
TOK,T3121807,TOK23,1962.0,2031159.88
TOK,T3121807,TOK24,3131.0,4108525.6
TOK,T3121807,TOK25,2154.0,2161845.52
TOK,T3937126,TOK30,4649.0,5446521.46
TOK,T3937126,TOK31,1015.0,946233.85
TOK,T3937126,TOK32,3459.0,3777013.02
TOK,T3937126,TOK33,4313.0,4311883.64
TOK,T9108891,TOK10,5742.0,5420815.31
TOK,T9108891,TOK11,3573.0,3438742.26
TOK,T9108891,TOK12,8387.0,10759353.87
TOK,T9108891,TOK13,2961.0,3800031.25
