Desk,Currency,Positions,NV
HK,AUZ,5363.0,3752385.74
HK,CNX,8607.0,9406489.48
HK,HKX,4928.0,6092907.61
HK,JPX,10292.0,10044807.46
HK,SGX,12035.0,7171215.43
HK,USX,6810.0,7901327.0
LON,AUZ,3464.0,2687915.01
LON,CNX,5290.0,6126875.19
LON,HKX,3189.0,4355242.57
LON,JPX,3236.0,3355013.82
LON,SGX,8152.0,5188473.44
LON,USX,8024.0,9406703.0
NY,AUZ,5621.0,3898403.51
NY,CNX,8844.0,9512210.08
NY,HKX,11928.0,13808342.14
NY,JPX,4569.0,4283409.42
NY,SGX,5144.0,2813487.19
NY,USX,7888.0,9792994.0
SG,AUZ,4901.0,3561497.46
SG,CNX,2477.0,2565107.72
SG,HKX,2751.0,2888933.31
SG,JPX,5962.0,5260688.71
SG,SGX,1646.0,1260761.06
SG,USX,6200.0,7689963.0
SYD,AUZ,1314.0,817549.66
SYD,CNX,3322.0,3746621.93
SYD,HKX,948.0,784519.2
SYD,JPX,1742.0,1522927.86
SYD,SGX,3638.0,2617565.22
SYD,USX,2243.0,2161850.0
TOK,AUZ,6810.0,4511196.27
TOK,CNX,4477.0,5141539.3
TOK,HKX,4081.0,5684804.34
TOK,JPX,4550.0,4881910.78
TOK,SGX,6849.0,4497957.5
TOK,USX,6087.0,7101114.0
