Desk,Currency,Positions,NV
HK,AUZ,6328.0,7384655.74
HK,CNX,10113.0,9364703.14
HK,HKX,8855.0,10223000.66
HK,JPX,11678.0,12909182.8
HK,SGX,14290.0,11930445.81
HK,USX,10121.0,9967530.0
LON,AUZ,6599.0,9042193.11
LON,CNX,8013.0,8062564.1
LON,HKX,5283.0,6170869.25
LON,JPX,6526.0,7136437.36
LON,SGX,11731.0,8649383.64
LON,USX,10888.0,10281094.0
NY,AUZ,9295.0,10787211.88
NY,CNX,14809.0,14637081.73
NY,HKX,16358.0,19875315.69
NY,JPX,9050.0,9393304.46
NY,SGX,7508.0,6273793.43
NY,USX,13307.0,12267992.0
SG,AUZ,8809.0,11050492.21
SG,CNX,3935.0,3439919.48
SG,HKX,4310.0,4818482.12
SG,JPX,9684.0,12056300.89
SG,SGX,4907.0,4147102.63
SG,USX,10570.0,9738508.0
SYD,AUZ,3367.0,5117927.68
SYD,CNX,4407.0,5382687.51
SYD,HKX,948.0,1211391.73
SYD,JPX,5371.0,5427843.73
SYD,SGX,7625.0,6563523.42
SYD,USX,3970.0,4194556.0
TOK,AUZ,10031.0,12038562.16
TOK,CNX,7694.0,8362533.62
TOK,HKX,6907.0,8146557.34
TOK,JPX,8492.0,8961928.96
TOK,SGX,7901.0,6864783.59
TOK,USX,8185.0,7492717.0
