Desk,Trader,Book,Positions,NV
HK,T3800229,HK02,739.0,876428.69
HK,T3800229,HK03,1704.0,1586686.68
HK,T3800229,HK04,455.0,492135.85
HK,T5727593,HK13,654.0,441196.4
HK,T5727593,HK14,583.0,617158.0
LON,T2121033,LON20,634.0,387486.9
LON,T2121033,LON22,986.0,1169362.23
LON,T6326422,LON02,1838.0,2495110.72
LON,T7210244,LON14,121.0,134915.0
NY,T1087795,NY23,368.0,360272.0
NY,T2078717,NY00,139.0,93547.0
NY,T2078717,NY02,1615.0,1374189.23
NY,T2078717,NY04,220.0,112893.8
NY,T4439875,NY40,630.0,423990.0
NY,T4439875,NY41,1276.0,1413716.23
NY,T4439875,NY42,965.0,816077.03
NY,T4439875,NY44,648.0,622728.0
NY,T4848015,NY31,211.0,150781.74
NY,T4848015,NY33,556.0,458062.32
NY,T4848015,NY34,859.0,840961.0
NY,T7375392,NY13,802.0,1207456.11
SG,T5983248,SG00,362.0,357656.0
SG,T5983248,SG03,440.0,364316.99
SG,T9277645,SG10,224.0,338415.0
SG,T9277645,SG13,558.0,531033.82
SG,T9277645,SG14,1222.0,1227764.91
SG,T9564084,SG21,327.0,265664.21
SG,T9564084,SG22,999.0,1509270.47
TOK,T2697765,TOK00,437.0,294101.0
TOK,T2697765,TOK01,938.0,540217.56
TOK,T2697765,TOK02,448.0,378862.7
TOK,T3121807,TOK21,1062.0,1057254.0
TOK,T3121807,TOK22,1174.0,1167785.4
TOK,T3121807,TOK23,284.0,233974.28
TOK,T3121807,TOK24,1732.0,1081138.12
TOK,T9108891,TOK10,238.0,241745.84
