Desk,Currency,Positions,NV
HK,AUZ,11002.0,9261902.22
HK,CNX,15389.0,16510939.72
HK,HKX,16192.0,17287859.74
HK,JPX,19526.0,20156376.92
HK,SGX,19056.0,14325804.11
HK,USX,13090.0,15324566.0
LON,AUZ,11943.0,11031353.39
LON,CNX,19168.0,18061012.36
LON,HKX,14636.0,16833634.56
LON,JPX,12688.0,14392767.71
LON,SGX,19803.0,13498002.8
LON,USX,18984.0,19094394.0
NY,AUZ,10481.0,10480540.47
NY,CNX,19143.0,20348830.22
NY,HKX,22311.0,25072698.33
NY,JPX,15509.0,14836717.25
NY,SGX,12229.0,9086072.75
NY,USX,20428.0,20104600.0
SG,AUZ,14405.0,14085192.5
SG,CNX,12776.0,14337673.14
SG,HKX,16332.0,18885348.77
SG,JPX,17720.0,20593646.02
SG,SGX,10717.0,8490673.54
SG,USX,20977.0,21630568.0
SYD,AUZ,4799.0,5611139.58
SYD,CNX,6501.0,5841868.51
SYD,HKX,7372.0,8303056.84
SYD,JPX,10753.0,10204979.23
SYD,SGX,9606.0,6900875.76
SYD,USX,5893.0,5433754.0
TOK,AUZ,21732.0,21563111.3
TOK,CNX,12984.0,13509591.38
TOK,HKX,18339.0,20364565.05
TOK,JPX,14309.0,14093164.79
TOK,SGX,13663.0,9484155.02
TOK,USX,14807.0,14924810.0
