Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,1772.0,1976252.81
HK,T3179669,HK31,231.0,144762.23
HK,T3179669,HK33,1521.0,1165457.9
HK,T3800229,HK00,655.0,426405.0
HK,T3800229,HK01,296.0,455961.49
HK,T3800229,HK02,2845.0,3145786.77
HK,T3800229,HK03,1704.0,1855658.0
HK,T3800229,HK04,2126.0,2325599.3
HK,T5727593,HK10,790.0,789031.91
HK,T5727593,HK11,1790.0,1513733.51
HK,T5727593,HK12,933.0,1228892.47
HK,T5727593,HK13,654.0,705222.2
HK,T5727593,HK14,1184.0,1117618.91
HK,T6189452,HK20,2250.0,2336125.16
HK,T6189452,HK21,987.0,1125054.63
HK,T6189452,HK22,636.0,862382.78
LON,T2121033,LON20,1065.0,934061.08
LON,T2121033,LON21,794.0,904366.0
LON,T2121033,LON22,2534.0,2329471.06
LON,T2121033,LON23,211.0,307083.02
LON,T2121033,LON24,1497.0,1199103.9
LON,T2121033,LON25,607.0,606256.16
LON,T6326422,LON00,57.0,35720.55
LON,T6326422,LON01,771.0,604464.0
LON,T6326422,LON02,3306.0,3111735.8
LON,T6326422,LON04,849.0,798054.54
LON,T7210244,LON11,732.0,945604.63
LON,T7210244,LON12,4119.0,4609192.0
LON,T7210244,LON13,1832.0,1757020.65
LON,T7210244,LON14,121.0,102148.48
NY,T1087795,NY20,449.0,414055.07
NY,T1087795,NY22,539.0,563898.16
NY,T1087795,NY23,1758.0,2061911.25
NY,T2078717,NY00,796.0,663755.92
NY,T2078717,NY01,1013.0,771370.95
NY,T2078717,NY02,2933.0,3063313.02
NY,T2078717,NY03,741.0,1094298.55
NY,T2078717,NY04,220.0,263856.25
NY,T4439875,NY40,237.0,186045.0
NY,T4439875,NY41,1978.0,2127533.31
NY,T4439875,NY42,2182.0,1994278.19
NY,T4439875,NY44,648.0,878654.15
NY,T4848015,NY30,380.0,418554.89
NY,T4848015,NY31,211.0,167300.7
NY,T4848015,NY33,1396.0,1262849.37
NY,T4848015,NY34,2111.0,1612549.95
NY,T4848015,NY35,688.0,571865.74
NY,T7375392,NY10,925.0,1109395.6
NY,T7375392,NY11,2159.0,2445672.0
NY,T7375392,NY13,1591.0,2329479.67
SG,T5983248,SG00,362.0,226856.82
SG,T5983248,SG01,1486.0,1288475.18
SG,T5983248,SG02,1436.0,1672034.11
SG,T5983248,SG03,1987.0,1522105.72
SG,T5983248,SG04,1287.0,1310837.65
SG,T9277645,SG10,2568.0,2773933.76
SG,T9277645,SG11,969.0,1224248.78
SG,T9277645,SG12,485.0,315735.0
SG,T9277645,SG13,1380.0,1670397.13
SG,T9277645,SG14,1222.0,930980.34
SG,T9564084,SG20,420.0,569498.06
SG,T9564084,SG21,568.0,570201.27
SG,T9564084,SG22,2944.0,4103567.89
SYD,T5521536,SYD10,541.0,616199.0
SYD,T5521536,SYD11,967.0,685117.64
SYD,T5521536,SYD12,835.0,704908.93
SYD,T5521536,SYD13,836.0,627428.2
SYD,T8621521,SYD01,1009.0,1260760.46
SYD,T8621521,SYD02,2085.0,1966572.81
SYD,T8621521,SYD03,214.0,134108.73
TOK,T2697765,TOK00,437.0,343045.0
TOK,T2697765,TOK01,938.0,837405.0
TOK,T2697765,TOK02,1705.0,1851506.05
TOK,T2697765,TOK04,462.0,583697.56
TOK,T3121807,TOK20,499.0,262480.42
TOK,T3121807,TOK21,2122.0,2327856.37
TOK,T3121807,TOK22,1329.0,1065636.89
TOK,T3121807,TOK23,1729.0,1137716.46
TOK,T3121807,TOK24,1944.0,1704385.84
TOK,T3121807,TOK25,899.0,674710.46
TOK,T3937126,TOK30,968.0,758912.0
TOK,T3937126,TOK31,377.0,293587.04
TOK,T3937126,TOK32,676.0,606633.18
TOK,T3937126,TOK33,1302.0,1264208.9
TOK,T9108891,TOK10,1773.0,1739286.75
TOK,T9108891,TOK11,502.0,394070.0
TOK,T9108891,TOK12,2200.0,1682729.14
TOK,T9108891,TOK13,1037.0,666031.48
