Desk,Currency,Positions,NV
HK,AUZ,7881.0,9255643.7
HK,CNX,12484.0,12451406.81
HK,HKX,11865.0,10879827.33
HK,JPX,15097.0,18552168.78
HK,SGX,17444.0,14221267.17
HK,USX,11611.0,13278386.0
LON,AUZ,10186.0,10800250.08
LON,CNX,12623.0,10781475.36
LON,HKX,9795.0,9031848.47
LON,JPX,8673.0,10890516.83
LON,SGX,16127.0,13576019.45
LON,USX,14743.0,17599909.0
NY,AUZ,10275.0,12036472.04
NY,CNX,18795.0,19044464.61
NY,HKX,21126.0,19359654.52
NY,JPX,14495.0,17557752.36
NY,SGX,10545.0,9201829.44
NY,USX,19146.0,22339746.0
SG,AUZ,10401.0,11628638.25
SG,CNX,7859.0,7751269.86
SG,HKX,6630.0,5960503.49
SG,JPX,13269.0,17088576.06
SG,SGX,6055.0,5218068.31
SG,USX,12966.0,15756607.0
SYD,AUZ,3698.0,4158581.11
SYD,CNX,4200.0,2936809.58
SYD,HKX,3130.0,3105686.68
SYD,JPX,6311.0,6651407.28
SYD,SGX,8054.0,6570516.3
SYD,USX,4538.0,5338279.0
TOK,AUZ,15522.0,17437341.6
TOK,CNX,9192.0,7971698.96
TOK,HKX,13065.0,12610031.14
TOK,JPX,10892.0,13462139.13
TOK,SGX,10272.0,8797032.79
TOK,USX,12273.0,14352968.0
