Desk,Currency,Positions,NV
HK,AUZ,5363.0,4833323.39
HK,CNX,9376.0,9758168.3
HK,HKX,8360.0,8430636.61
HK,JPX,10665.0,9759397.1
HK,SGX,12035.0,12403069.71
HK,USX,7243.0,8637062.0
LON,AUZ,4932.0,4275769.81
LON,CNX,7338.0,7680733.94
LON,HKX,4623.0,3956785.31
LON,JPX,4958.0,4413700.43
LON,SGX,9511.0,9355689.91
LON,USX,10074.0,11095964.0
NY,AUZ,7011.0,5669013.59
NY,CNX,13402.0,13440148.01
NY,HKX,14180.0,14595055.0
NY,JPX,7279.0,7275044.19
NY,SGX,6122.0,6845433.34
NY,USX,11324.0,12743805.0
SG,AUZ,7971.0,6334964.99
SG,CNX,3745.0,3655889.58
SG,HKX,2751.0,2439123.62
SG,JPX,8432.0,7020444.52
SG,SGX,2667.0,2476301.66
SG,USX,7583.0,7702195.0
SYD,AUZ,2168.0,1271749.67
SYD,CNX,4407.0,5339589.45
SYD,HKX,948.0,1115981.22
SYD,JPX,4069.0,3728755.54
SYD,SGX,4118.0,3722022.3
SYD,USX,2986.0,3878714.0
TOK,AUZ,9553.0,7077774.13
TOK,CNX,6452.0,7361210.09
TOK,HKX,4687.0,4587418.46
TOK,JPX,6591.0,6433594.34
TOK,SGX,7478.0,7429614.58
TOK,USX,7143.0,8249105.0
