Desk,Currency,Positions,NV
HK,AUZ,3498.0,3366930.95
HK,CNX,5641.0,6926981.65
HK,HKX,4572.0,4153841.23
HK,JPX,8646.0,9364711.51
HK,SGX,9483.0,12093483.1
HK,USX,6077.0,6259428.0
LON,AUZ,3226.0,2768846.04
LON,CNX,4492.0,5478869.37
LON,HKX,2406.0,2233587.77
LON,JPX,3236.0,4565415.48
LON,SGX,7466.0,9872226.11
LON,USX,3927.0,3856146.0
NY,AUZ,5136.0,4942685.55
NY,CNX,5084.0,6629208.39
NY,HKX,7672.0,7487366.21
NY,JPX,4270.0,3074486.78
NY,SGX,3643.0,5202578.56
NY,USX,3527.0,3290975.0
SG,AUZ,3112.0,3032976.0
SG,CNX,2477.0,3256373.2
SG,HKX,2751.0,2235935.35
SG,JPX,5962.0,5390897.3
SG,SGX,1491.0,1379417.86
SG,USX,6097.0,6360449.0
SYD,AUZ,836.0,901740.0
SYD,CNX,2538.0,3201740.0
SYD,HKX,653.0,731301.96
SYD,JPX,1142.0,849029.15
SYD,SGX,2489.0,4191227.8
SYD,USX,1225.0,1332899.0
TOK,AUZ,5912.0,5879142.82
TOK,CNX,4477.0,5440773.1
TOK,HKX,3814.0,3727418.12
TOK,JPX,2867.0,3150511.41
TOK,SGX,6072.0,8164301.1
TOK,USX,6087.0,6160710.0
