Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,3476.0,4430556.25
HK,T3179669,HK31,1541.0,1592891.48
HK,T3179669,HK32,653.0,485733.43
HK,T3179669,HK33,1521.0,1091818.44
HK,T3800229,HK00,2644.0,2367516.65
HK,T3800229,HK01,2763.0,2862033.31
HK,T3800229,HK02,3320.0,3328915.03
HK,T3800229,HK03,4142.0,4396148.9
HK,T3800229,HK04,2126.0,1991758.08
HK,T5727593,HK10,2337.0,2024901.75
HK,T5727593,HK11,4877.0,4418024.13
HK,T5727593,HK12,2485.0,2680017.15
HK,T5727593,HK13,3638.0,2522321.62
HK,T5727593,HK14,3507.0,2978972.39
HK,T6189452,HK20,4332.0,3305553.88
HK,T6189452,HK21,2181.0,1930503.13
HK,T6189452,HK22,1485.0,1416044.46
HK,T6189452,HK23,1007.0,545422.64
LON,T2121033,LON20,1752.0,1279485.19
LON,T2121033,LON21,1499.0,1602689.99
LON,T2121033,LON22,3725.0,3325966.22
LON,T2121033,LON23,211.0,265080.35
LON,T2121033,LON24,2690.0,2794755.63
LON,T2121033,LON25,2369.0,2447729.91
LON,T6326422,LON00,902.0,726282.04
LON,T6326422,LON01,1389.0,1331634.45
LON,T6326422,LON02,4709.0,5411516.56
LON,T6326422,LON03,216.0,257472.0
LON,T6326422,LON04,849.0,974190.15
LON,T7210244,LON10,1279.0,1094321.27
LON,T7210244,LON11,1818.0,1996435.03
LON,T7210244,LON12,4972.0,4864514.9
LON,T7210244,LON13,2538.0,2245763.6
LON,T7210244,LON14,437.0,502385.74
NY,T1087795,NY20,449.0,428804.98
NY,T1087795,NY21,236.0,191396.0
NY,T1087795,NY22,539.0,513451.78
NY,T1087795,NY23,2889.0,3080491.56
NY,T2078717,NY00,2134.0,1976224.97
NY,T2078717,NY01,1013.0,1294537.77
NY,T2078717,NY02,2933.0,2701493.98
NY,T2078717,NY03,741.0,721790.5
NY,T2078717,NY04,3079.0,3378097.08
NY,T4439875,NY40,978.0,1050847.47
NY,T4439875,NY41,4178.0,4965475.71
NY,T4439875,NY42,2384.0,2232619.37
NY,T4439875,NY43,2655.0,2037234.65
NY,T4439875,NY44,648.0,426782.4
NY,T4848015,NY30,1070.0,935602.14
NY,T4848015,NY31,2276.0,2161363.19
NY,T4848015,NY32,1265.0,1661224.0
NY,T4848015,NY33,1599.0,1609940.94
NY,T4848015,NY34,1395.0,1017240.79
NY,T4848015,NY35,3592.0,2811223.68
NY,T7375392,NY10,2001.0,2514595.32
NY,T7375392,NY11,2335.0,2340385.74
NY,T7375392,NY12,1529.0,2022681.2
NY,T7375392,NY13,2076.0,2035341.12
SG,T5983248,SG00,1240.0,1225588.45
SG,T5983248,SG01,3355.0,3002018.72
SG,T5983248,SG02,1436.0,1202329.15
SG,T5983248,SG03,1987.0,1854933.75
SG,T5983248,SG04,1791.0,1503732.47
SG,T5983248,SG05,131.0,189688.0
SG,T9277645,SG10,2568.0,2769909.71
SG,T9277645,SG11,1880.0,1402359.63
SG,T9277645,SG12,1439.0,1508360.41
SG,T9277645,SG13,1958.0,2217163.37
SG,T9277645,SG14,1425.0,1317971.26
SG,T9564084,SG20,420.0,276618.22
SG,T9564084,SG21,1363.0,1716912.61
SG,T9564084,SG22,2944.0,3039365.51
SYD,T5521536,SYD10,1250.0,912108.83
SYD,T5521536,SYD11,2048.0,2235299.95
SYD,T5521536,SYD12,2887.0,2729510.73
SYD,T5521536,SYD13,836.0,438857.56
SYD,T8621521,SYD01,1464.0,1010259.17
SYD,T8621521,SYD02,4328.0,4000992.44
SYD,T8621521,SYD03,394.0,324005.19
TOK,T2697765,TOK00,437.0,632776.0
TOK,T2697765,TOK01,2314.0,2132716.06
TOK,T2697765,TOK02,2667.0,3120531.99
TOK,T2697765,TOK03,211.0,201229.74
TOK,T2697765,TOK04,1368.0,1720660.24
TOK,T3121807,TOK20,499.0,586084.28
TOK,T3121807,TOK21,2987.0,2439014.02
TOK,T3121807,TOK22,1937.0,1370416.65
TOK,T3121807,TOK23,1729.0,2059025.18
TOK,T3121807,TOK24,2314.0,1986620.62
TOK,T3121807,TOK25,1742.0,1729692.68
TOK,T3937126,TOK30,1866.0,1625260.42
TOK,T3937126,TOK31,725.0,648885.09
TOK,T3937126,TOK32,676.0,1021640.7
TOK,T3937126,TOK33,2483.0,2349500.78
TOK,T9108891,TOK10,3233.0,2926968.33
TOK,T9108891,TOK11,1321.0,1483210.69
TOK,T9108891,TOK12,2965.0,2587559.56
TOK,T9108891,TOK13,1380.0,1196729.16
