AftEvent,Desk,Trader,Book,BondID,Positions,NV
5500,HK,T3179669,HK30,B04712,757.0,658590.0
5500,HK,T3179669,HK30,B16316,759.0,1055010.0
5500,HK,T3179669,HK30,B17266,789.0,505050.82
5500,HK,T3179669,HK30,B25841,536.0,441774.52
5500,HK,T3179669,HK30,B27558,37.0,58713.8
5500,HK,T3179669,HK30,B28659,945.0,1063145.4
5500,HK,T3179669,HK30,B34105,738.0,893371.9
5500,HK,T3179669,HK30,B45214,830.0,888422.45
5500,HK,T3179669,HK30,B45918,510.0,649825.14
5500,HK,T3179669,HK31,B03283,231.0,177901.86
5500,HK,T3179669,HK31,B16316,164.0,227960.0
5500,HK,T3179669,HK31,B38589,98.0,101496.25
5500,HK,T3179669,HK31,B44611,575.0,729675.0
5500,HK,T3179669,HK31,B45214,166.0,177684.49
5500,HK,T3179669,HK31,B48886,630.0,369633.83
5500,HK,T3179669,HK32,B31214,355.0,312045.0
5500,HK,T3179669,HK32,B34105,653.0,790476.77
5500,HK,T3179669,HK33,B02473,476.0,262002.42
5500,HK,T3179669,HK33,B05609,677.0,960463.31
5500,HK,T3179669,HK33,B08521,835.0,941311.37
5500,HK,T3179669,HK33,B23639,208.0,145252.86
5500,HK,T3179669,HK33,B27558,204.0,323719.34
5500,HK,T3179669,HK33,B28917,198.0,210474.0
5500,HK,T3179669,HK33,B38589,450.0,466054.21
5500,HK,T3179669,HK33,B45193,1159.0,853024.0
5500,HK,T3179669,HK33,B45214,628.0,672203.97
5500,HK,T3179669,HK33,B45918,553.0,704614.32
5500,HK,T3800229,HK00,B02473,256.0,140908.87
5500,HK,T3800229,HK00,B16316,733.0,1018870.0
5500,HK,T3800229,HK00,B17901,655.0,779450.0
5500,HK,T3800229,HK00,B18694,892.0,930731.26
5500,HK,T3800229,HK00,B25841,585.0,482160.62
5500,HK,T3800229,HK00,B28659,602.0,677262.99
5500,HK,T3800229,HK00,B28917,108.0,114804.0
5500,HK,T3800229,HK00,B44611,625.0,793125.0
5500,HK,T3800229,HK01,B05609,704.0,998768.35
5500,HK,T3800229,HK01,B08521,664.0,748539.82
5500,HK,T3800229,HK01,B11094,259.0,364997.36
5500,HK,T3800229,HK01,B17266,857.0,548578.65
5500,HK,T3800229,HK01,B28659,619.0,696388.36
5500,HK,T3800229,HK01,B28917,1067.0,1134221.0
5500,HK,T3800229,HK01,B38589,836.0,865825.16
5500,HK,T3800229,HK01,B44611,263.0,333747.0
5500,HK,T3800229,HK01,B45214,296.0,316834.99
5500,HK,T3800229,HK02,B05609,709.0,1005861.87
5500,HK,T3800229,HK02,B08521,389.0,438527.09
5500,HK,T3800229,HK02,B17266,788.0,504410.71
5500,HK,T3800229,HK02,B18694,855.0,892124.69
5500,HK,T3800229,HK02,B27558,495.0,785495.45
5500,HK,T3800229,HK02,B45214,865.0,925886.04
5500,HK,T3800229,HK02,B47982,989.0,948635.16
5500,HK,T3800229,HK02,B48886,512.0,300400.82
5500,HK,T3800229,HK03,B03283,1552.0,1195254.07
5500,HK,T3800229,HK03,B18694,999.0,1042377.27
5500,HK,T3800229,HK03,B25841,509.0,419520.95
5500,HK,T3800229,HK03,B28659,1214.0,1365776.2
5500,HK,T3800229,HK03,B31214,1278.0,1123362.0
5500,HK,T3800229,HK03,B35479,850.0,1153800.52
5500,HK,T3800229,HK03,B45193,290.0,213440.0
5500,HK,T3800229,HK03,B48886,495.0,290426.58
5500,HK,T3800229,HK04,B02473,594.0,326952.6
5500,HK,T3800229,HK04,B04712,1356.0,1179720.0
5500,HK,T3800229,HK04,B05609,491.0,696584.17
5500,HK,T3800229,HK04,B11094,795.0,1120358.68
5500,HK,T3800229,HK04,B16316,686.0,953540.0
5500,HK,T3800229,HK04,B18694,436.0,454931.42
5500,HK,T3800229,HK04,B25841,455.0,375013.81
5500,HK,T3800229,HK04,B27023,994.0,706734.0
5500,HK,T3800229,HK04,B35479,955.0,1296328.81
5500,HK,T3800229,HK04,B35648,117.0,75452.37
5500,HK,T3800229,HK04,B45214,124.0,132728.17
5500,HK,T5727593,HK10,B17266,743.0,475605.53
5500,HK,T5727593,HK10,B18694,790.0,824302.34
5500,HK,T5727593,HK10,B25841,353.0,290944.78
5500,HK,T5727593,HK10,B38589,804.0,832683.53
5500,HK,T5727593,HK10,B45193,696.0,512256.0
5500,HK,T5727593,HK10,B47982,29.0,27816.4
5500,HK,T5727593,HK11,B02473,651.0,358326.84
5500,HK,T5727593,HK11,B10340,854.0,1106395.52
5500,HK,T5727593,HK11,B17901,1447.0,1721930.0
5500,HK,T5727593,HK11,B23639,648.0,452518.51
