Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,873.0,1441348.43
HK,T3179669,HK31,231.0,256504.93
HK,T3800229,HK00,655.0,910194.39
HK,T3800229,HK02,2350.0,2410171.83
HK,T3800229,HK03,1704.0,1548206.45
HK,T3800229,HK04,2126.0,2561095.84
HK,T5727593,HK13,654.0,796828.75
HK,T5727593,HK14,583.0,682244.91
HK,T6189452,HK20,371.0,390292.0
LON,T2121033,LON20,1065.0,1083142.52
LON,T2121033,LON22,1250.0,1243042.05
LON,T2121033,LON23,211.0,348367.15
LON,T2121033,LON24,1326.0,1235615.51
LON,T2121033,LON25,607.0,581522.63
LON,T6326422,LON00,730.0,810600.0
LON,T6326422,LON02,3306.0,4102872.48
LON,T7210244,LON11,449.0,358747.65
LON,T7210244,LON12,1500.0,1650518.37
LON,T7210244,LON13,878.0,969167.67
LON,T7210244,LON14,121.0,127292.0
NY,T1087795,NY20,319.0,164642.09
NY,T1087795,NY23,910.0,869768.64
NY,T2078717,NY00,796.0,896884.0
NY,T2078717,NY01,231.0,258027.0
NY,T2078717,NY02,2933.0,3558990.06
NY,T2078717,NY04,220.0,330307.13
NY,T4439875,NY40,237.0,350760.0
NY,T4439875,NY41,1276.0,1437653.59
NY,T4439875,NY42,1729.0,2375113.57
NY,T4439875,NY44,648.0,610880.24
NY,T4848015,NY31,211.0,172340.68
NY,T4848015,NY33,796.0,1045639.36
NY,T4848015,NY34,1731.0,1671973.71
NY,T4848015,NY35,567.0,625874.79
NY,T7375392,NY11,1177.0,708006.43
NY,T7375392,NY13,1591.0,2467386.36
SG,T5983248,SG00,362.0,401968.77
SG,T5983248,SG01,574.0,296252.54
SG,T5983248,SG02,955.0,900294.18
SG,T5983248,SG03,1432.0,997678.12
SG,T5983248,SG04,839.0,1188863.0
SG,T9277645,SG10,858.0,837704.73
SG,T9277645,SG11,231.0,338266.63
SG,T9277645,SG13,558.0,589605.25
SG,T9277645,SG14,1222.0,1024713.22
SG,T9564084,SG20,420.0,395940.9
SG,T9564084,SG21,327.0,235759.69
SG,T9564084,SG22,999.0,1070457.6
SYD,T5521536,SYD11,967.0,1059365.0
SYD,T5521536,SYD13,836.0,838215.74
TOK,T2697765,TOK00,437.0,646760.0
TOK,T2697765,TOK01,938.0,720295.84
TOK,T2697765,TOK02,448.0,622545.17
TOK,T3121807,TOK21,1542.0,2145676.75
TOK,T3121807,TOK22,1329.0,1584208.0
TOK,T3121807,TOK23,1090.0,1206928.5
TOK,T3121807,TOK24,1732.0,1286139.34
TOK,T3937126,TOK30,968.0,1115136.0
TOK,T3937126,TOK31,195.0,186815.34
TOK,T3937126,TOK32,527.0,608685.0
TOK,T9108891,TOK10,238.0,303982.5
TOK,T9108891,TOK12,1016.0,1136339.67
TOK,T9108891,TOK13,537.0,538423.27
