Desk,Currency,Positions,NV
HK,AUZ,1076.0,1407111.3
HK,CNX,873.0,1441348.43
HK,HKX,867.0,1144100.17
HK,JPX,2281.0,1791866.0
HK,SGX,2060.0,2105656.63
HK,USX,2390.0,3106805.0
LON,AUZ,382.0,354908.42
LON,CNX,2049.0,2716534.64
LON,JPX,983.0,714917.68
LON,SGX,6702.0,6995095.29
LON,USX,1327.0,1729432.0
NY,AUZ,3020.0,3984394.96
NY,CNX,2025.0,2906885.89
NY,HKX,2324.0,2908868.4
NY,JPX,3291.0,2486839.84
NY,SGX,2981.0,3153711.56
NY,USX,1731.0,2103547.0
SG,AUZ,673.0,859970.37
SG,CNX,1223.0,1310480.12
SG,HKX,324.0,189655.94
SG,JPX,4134.0,2990671.03
SG,SGX,1584.0,1737864.17
SG,USX,839.0,1188863.0
SYD,AUZ,836.0,838215.74
SYD,CNX,283.0,271397.0
SYD,USX,684.0,787968.0
TOK,AUZ,2120.0,2247239.97
TOK,CNX,1642.0,1984318.0
TOK,HKX,1446.0,1955162.52
TOK,JPX,1891.0,1311364.88
TOK,SGX,1765.0,1876717.01
TOK,USX,2133.0,2727133.0
