Desk,Currency,Positions,NV
HK,AUZ,10886.0,8214486.97
HK,CNX,15389.0,14591935.28
HK,HKX,15224.0,15004299.52
HK,JPX,18979.0,15587078.63
HK,SGX,19281.0,17373686.62
HK,USX,14832.0,15577257.0
LON,AUZ,12513.0,9860884.64
LON,CNX,19168.0,18058696.43
LON,HKX,14636.0,12618895.41
LON,JPX,12031.0,10393460.7
LON,SGX,19444.0,16953056.06
LON,USX,18737.0,21523851.0
NY,AUZ,10481.0,8110412.37
NY,CNX,19143.0,17553551.87
NY,HKX,23201.0,21165160.73
NY,JPX,15509.0,13510598.49
NY,SGX,11407.0,9816865.66
NY,USX,20428.0,22268626.0
SG,AUZ,13722.0,10717248.85
SG,CNX,10924.0,10278023.96
SG,HKX,14576.0,15394052.56
SG,JPX,17010.0,15173063.6
SG,SGX,9219.0,7281076.42
SG,USX,18952.0,21506763.0
SYD,AUZ,3050.0,2020433.61
SYD,CNX,5854.0,5024206.63
SYD,HKX,6072.0,5602713.87
SYD,JPX,8959.0,7709599.58
SYD,SGX,9606.0,8206054.15
SYD,USX,5893.0,7422908.0
TOK,AUZ,22122.0,16310325.82
TOK,CNX,12907.0,12079651.76
TOK,HKX,17728.0,16420888.78
TOK,JPX,14877.0,13137512.25
TOK,SGX,13663.0,12822110.02
TOK,USX,14807.0,15436294.0
