Desk,Currency,Positions,NV
HK,AUZ,421.0,403318.0
HK,HKX,455.0,492135.85
HK,JPX,841.0,447526.68
HK,SGX,1022.0,1049392.09
HK,USX,1396.0,1621233.0
LON,CNX,1838.0,2495110.72
LON,SGX,1741.0,1691764.13
NY,AUZ,2163.0,1801540.66
NY,CNX,802.0,1207456.11
NY,HKX,1006.0,688981.46
NY,JPX,1875.0,1823961.0
NY,SGX,550.0,455396.23
NY,USX,1893.0,1897339.0
SG,AUZ,442.0,423436.0
SG,CNX,1223.0,1847685.47
SG,HKX,324.0,300531.84
SG,JPX,559.0,572720.91
SG,SGX,1584.0,1449747.18
TOK,AUZ,1583.0,1235537.17
TOK,CNX,836.0,836000.0
TOK,HKX,284.0,233974.28
TOK,JPX,1891.0,1107261.05
TOK,SGX,797.0,937550.4
TOK,USX,922.0,644756.0
