Desk,Currency,Positions,NV
HK,AUZ,7639.0,14303503.1
HK,CNX,13062.0,10392183.89
HK,HKX,11015.0,11312628.57
HK,JPX,12269.0,14178573.18
HK,SGX,16139.0,12624260.24
HK,USX,11151.0,8545250.0
LON,AUZ,7297.0,12116406.01
LON,CNX,10098.0,8187532.69
LON,HKX,6587.0,8276583.8
LON,JPX,7109.0,7638367.39
LON,SGX,14318.0,11026518.22
LON,USX,10843.0,8487790.0
NY,AUZ,9994.0,16527532.79
NY,CNX,15523.0,12735146.69
NY,HKX,18059.0,20150252.55
NY,JPX,12298.0,15331839.99
NY,SGX,8638.0,6479013.96
NY,USX,17571.0,14590755.0
SG,AUZ,9536.0,14384757.37
SG,CNX,5447.0,4468183.51
SG,HKX,5103.0,5499543.09
SG,JPX,10850.0,13394876.86
SG,SGX,4907.0,3763211.87
SG,USX,12966.0,9805572.0
SYD,AUZ,3714.0,5206983.19
SYD,CNX,4407.0,3994776.45
SYD,HKX,1878.0,1978084.73
SYD,JPX,5371.0,5572260.88
SYD,SGX,7625.0,5855550.34
SYD,USX,4538.0,2947925.0
TOK,AUZ,14176.0,21955873.25
TOK,CNX,7625.0,5916465.34
TOK,HKX,10172.0,11147959.66
TOK,JPX,9989.0,11710563.13
TOK,SGX,8817.0,6657319.53
TOK,USX,10691.0,8996531.0
