Desk,Currency,Positions,NV
HK,AUZ,8941.0,8821745.34
HK,CNX,12484.0,15771722.92
HK,HKX,11865.0,11352909.79
HK,JPX,17537.0,20134701.02
HK,SGX,18087.0,16818501.8
HK,USX,11900.0,12596812.0
LON,AUZ,10355.0,9675700.06
LON,CNX,13806.0,14609649.0
LON,HKX,9795.0,9360777.02
LON,JPX,9632.0,12677324.04
LON,SGX,16445.0,16267141.65
LON,USX,15950.0,16507222.0
NY,AUZ,10351.0,8466271.04
NY,CNX,18795.0,21591147.07
NY,HKX,21936.0,20932923.52
NY,JPX,15869.0,17312173.4
NY,SGX,11806.0,11202095.9
NY,USX,19580.0,19516421.0
SG,AUZ,10401.0,8460011.01
SG,CNX,7859.0,10509711.75
SG,HKX,8359.0,8334329.12
SG,JPX,14245.0,19226328.3
SG,SGX,6055.0,5780294.24
SG,USX,13700.0,13817133.0
SYD,AUZ,3698.0,2595715.68
SYD,CNX,4200.0,4539866.16
SYD,HKX,3972.0,4108805.51
SYD,JPX,6551.0,7090300.87
SYD,SGX,9283.0,9075546.49
SYD,USX,4390.0,3855720.0
TOK,AUZ,15836.0,12782186.57
TOK,CNX,9385.0,11166468.35
TOK,HKX,13832.0,13753399.77
TOK,JPX,12347.0,13808373.18
TOK,SGX,9761.0,9759656.82
TOK,USX,13201.0,13024238.0
