Desk,Trader,Book,BondID,Positions,NV
HK,T3179669,HK30,B04712,757.0,873578.0
HK,T3179669,HK30,B16316,759.0,1054251.0
HK,T3179669,HK30,B17266,789.0,744780.93
HK,T3179669,HK30,B27558,295.0,218316.13
HK,T3179669,HK30,B28659,945.0,552384.0
HK,T3179669,HK30,B34105,738.0,933652.57
HK,T3179669,HK30,B45214,830.0,1221760.0
HK,T3179669,HK30,B45918,510.0,745379.76
HK,T3179669,HK31,B03283,231.0,103885.38
HK,T3179669,HK31,B16316,164.0,227796.0
HK,T3179669,HK31,B38589,98.0,151119.78
HK,T3179669,HK31,B44611,575.0,392725.0
HK,T3179669,HK31,B45214,166.0,244352.0
HK,T3179669,HK31,B48886,630.0,517014.92
HK,T3179669,HK32,B31214,355.0,412155.0
HK,T3179669,HK32,B34105,653.0,826118.06
HK,T3179669,HK33,B02473,476.0,600150.01
HK,T3179669,HK33,B08521,835.0,1202426.85
HK,T3179669,HK33,B23639,208.0,241979.64
HK,T3179669,HK33,B28917,198.0,234197.33
HK,T3179669,HK33,B38589,450.0,693917.36
HK,T3179669,HK33,B45193,837.0,906812.0
HK,T3179669,HK33,B45214,628.0,924416.0
HK,T3179669,HK33,B45918,553.0,808225.5
HK,T3800229,HK00,B02473,256.0,322769.75
HK,T3800229,HK00,B16316,733.0,1018137.0
HK,T3800229,HK00,B17901,655.0,675256.48
HK,T3800229,HK00,B18694,892.0,909840.0
HK,T3800229,HK00,B28659,602.0,351889.07
HK,T3800229,HK00,B28917,108.0,127744.0
HK,T3800229,HK00,B44611,444.0,303252.0
HK,T3800229,HK01,B05609,704.0,1027136.0
HK,T3800229,HK01,B08521,664.0,956181.35
HK,T3800229,HK01,B11094,259.0,163521.02
HK,T3800229,HK01,B17266,857.0,808969.91
HK,T3800229,HK01,B28659,619.0,361826.13
HK,T3800229,HK01,B28917,242.0,286241.19
HK,T3800229,HK01,B38589,836.0,1289144.26
HK,T3800229,HK01,B44611,263.0,179629.0
HK,T3800229,HK01,B45214,296.0,435712.0
HK,T3800229,HK02,B05609,709.0,1034431.0
HK,T3800229,HK02,B17266,788.0,743836.98
HK,T3800229,HK02,B18694,855.0,872100.0
HK,T3800229,HK02,B27558,495.0,366327.06
HK,T3800229,HK02,B45214,865.0,1273280.0
HK,T3800229,HK02,B47982,739.0,508576.7
HK,T3800229,HK02,B48886,512.0,420177.21
HK,T3800229,HK03,B03283,1552.0,697965.87
HK,T3800229,HK03,B18694,999.0,1018980.0
HK,T3800229,HK03,B25841,509.0,419925.0
HK,T3800229,HK03,B28659,1214.0,709623.47
HK,T3800229,HK03,B31214,863.0,1001943.0
HK,T3800229,HK03,B35479,850.0,697000.0
HK,T3800229,HK03,B45193,290.0,314188.15
HK,T3800229,HK03,B48886,495.0,406226.01
HK,T3800229,HK04,B02473,594.0,748926.69
HK,T3800229,HK04,B04712,836.0,964744.0
HK,T3800229,HK04,B05609,491.0,716369.0
HK,T3800229,HK04,B11094,795.0,501927.47
HK,T3800229,HK04,B18694,436.0,444720.0
HK,T3800229,HK04,B25841,455.0,375375.0
HK,T3800229,HK04,B27023,994.0,608328.0
HK,T3800229,HK04,B35479,955.0,783100.0
HK,T3800229,HK04,B35648,117.0,170026.13
HK,T3800229,HK04,B45214,124.0,182528.0
HK,T5727593,HK10,B17266,743.0,701358.98
HK,T5727593,HK10,B18694,790.0,805800.0
HK,T5727593,HK10,B25841,353.0,291225.0
HK,T5727593,HK10,B38589,804.0,1239799.02
HK,T5727593,HK10,B45193,696.0,754051.56
HK,T5727593,HK10,B47982,29.0,19957.68
HK,T5727593,HK11,B02473,651.0,820793.39
HK,T5727593,HK11,B10340,854.0,1027671.77
HK,T5727593,HK11,B17901,1447.0,1491749.81
HK,T5727593,HK11,B23639,648.0,753859.64
HK,T5727593,HK11,B27023,526.0,321912.0
HK,T5727593,HK11,B27558,717.0,530619.19
HK,T5727593,HK11,B31538,616.0,292516.35
HK,T5727593,HK11,B48886,280.0,229784.41
HK,T5727593,HK12,B08521,718.0,1033943.09
HK,T5727593,HK12,B16316,110.0,152790.0
HK,T5727593,HK12,B18694,912.0,930240.0
HK,T5727593,HK12,B23639,600.0,698018.18
HK,T5727593,HK12,B28659,681.0,398067.2
HK,T5727593,HK12,B45214,871.0,1282112.0
HK,T5727593,HK13,B02473,734.0,925441.4
HK,T5727593,HK13,B18694,1048.0,1068960.0
HK,T5727593,HK13,B27023,639.0,391068.0
HK,T5727593,HK13,B31214,1527.0,1772847.0
HK,T5727593,HK13,B34105,202.0,255552.6
HK,T5727593,HK13,B47982,1830.0,1259398.32
HK,T5727593,HK14,B08521,1630.0,2347252.41
HK,T5727593,HK14,B11094,729.0,460258.02
HK,T5727593,HK14,B18694,255.0,260100.0
HK,T5727593,HK14,B23639,601.0,699181.55
HK,T5727593,HK14,B25841,936.0,772200.0
HK,T5727593,HK14,B28917,421.0,497965.04
HK,T5727593,HK14,B31214,162.0,188082.0
HK,T5727593,HK14,B35648,909.0,1320972.27
HK,T5727593,HK14,B45214,266.0,391552.0
HK,T5727593,HK14,B45918,893.0,1305145.34
HK,T6189452,HK20,B01774,1186.0,780021.95
HK,T6189452,HK20,B04712,1030.0,1188620.0
HK,T6189452,HK20,B10340,223.0,268349.89
HK,T6189452,HK20,B23639,1191.0,1385566.09
HK,T6189452,HK20,B28917,965.0,1141416.3
HK,T6189452,HK20,B34105,371.0,469356.51
HK,T6189452,HK20,B35479,341.0,279620.0
HK,T6189452,HK20,B35648,910.0,1322425.48
HK,T6189452,HK20,B45918,354.0,517381.24
HK,T6189452,HK20,B47982,350.0,240868.53
HK,T6189452,HK20,B48886,371.0,304464.34
HK,T6189452,HK21,B03283,643.0,289170.14
HK,T6189452,HK21,B05609,678.0,989202.0
HK,T6189452,HK21,B16316,565.0,784785.0
HK,T6189452,HK21,B17901,934.0,962884.81
HK,T6189452,HK21,B31214,309.0,358749.0
HK,T6189452,HK21,B35479,811.0,665020.0
HK,T6189452,HK21,B45214,284.0,418048.0
HK,T6189452,HK21,B47982,260.0,178930.91
HK,T6189452,HK22,B16316,289.0,401421.0
HK,T6189452,HK22,B25841,579.0,477675.0
HK,T6189452,HK22,B35648,636.0,924244.62
HK,T6189452,HK22,B45918,849.0,1240838.07
HK,T6189452,HK23,B03283,393.0,176740.07
HK,T6189452,HK23,B17266,591.0,557877.73
HK,T6189452,HK23,B17901,346.0,356700.37
HK,T6189452,HK23,B23639,661.0,768983.36
HK,T6189452,HK23,B35648,224.0,325520.12
LON,T2121033,LON20,B01774,169.0,111149.84
LON,T2121033,LON20,B04712,565.0,652010.0
LON,T2121033,LON20,B11094,418.0,263906.52
LON,T2121033,LON20,B16316,980.0,1361220.0
LON,T2121033,LON20,B18694,634.0,646680.0
LON,T2121033,LON20,B23639,431.0,501409.73
LON,T2121033,LON20,B27558,907.0,671229.58
LON,T2121033,LON20,B31214,341.0,395901.0
LON,T2121033,LON20,B38589,687.0,1059380.51
LON,T2121033,LON20,B47982,444.0,305558.94
LON,T2121033,LON21,B04712,574.0,662396.0
LON,T2121033,LON21,B05609,507.0,739713.0
LON,T2121033,LON21,B08521,131.0,188644.21
LON,T2121033,LON21,B23639,267.0,310618.09
LON,T2121033,LON21,B27023,794.0,485928.0
LON,T2121033,LON21,B27558,539.0,398889.46
LON,T2121033,LON21,B28659,855.0,499776.0
LON,T2121033,LON21,B35479,365.0,299300.0
LON,T2121033,LON21,B35648,376.0,546408.77
LON,T2121033,LON21,B38589,708.0,1091763.32
LON,T2121033,LON22,B02473,998.0,1258297.71
LON,T2121033,LON22,B10340,105.0,126353.09
LON,T2121033,LON22,B16316,367.0,509763.0
LON,T2121033,LON22,B27023,450.0,275400.0
LON,T2121033,LON22,B28917,807.0,954531.56
LON,T2121033,LON22,B35648,286.0,415619.44
LON,T2121033,LON22,B38589,1456.0,2245208.18
LON,T2121033,LON22,B44611,136.0,92888.0
LON,T2121033,LON22,B45193,1355.0,1468017.04
LON,T2121033,LON22,B45918,722.0,1055223.89
LON,T2121033,LON22,B47982,2049.0,1410113.2
LON,T2121033,LON22,B48886,998.0,819017.29
LON,T2121033,LON23,B04712,911.0,1051294.0
LON,T2121033,LON23,B27558,211.0,156151.53
LON,T2121033,LON23,B31214,277.0,321597.0
LON,T2121033,LON23,B44611,730.0,498590.0
LON,T2121033,LON23,B48886,361.0,296257.76
LON,T2121033,LON24,B01774,341.0,224272.75
LON,T2121033,LON24,B03283,472.0,212267.97
LON,T2121033,LON24,B17901,887.0,914431.3
LON,T2121033,LON24,B18694,185.0,188700.0
LON,T2121033,LON24,B23639,683.0,794577.36
LON,T2121033,LON24,B28659,534.0,312140.8
LON,T2121033,LON24,B31214,930.0,1079730.0
LON,T2121033,LON24,B44611,285.0,194655.0
LON,T2121033,LON24,B48886,815.0,668836.76
