Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,5623.0,6344102.39
HK,T3179669,HK31,1864.0,1636893.08
HK,T3179669,HK32,1008.0,1238273.06
HK,T3179669,HK33,4185.0,5612124.69
HK,T3800229,HK00,3690.0,3708888.3
HK,T3800229,HK01,4740.0,5508360.86
HK,T3800229,HK02,4963.0,5218728.95
HK,T3800229,HK03,6772.0,5265851.5
HK,T3800229,HK04,5797.0,5496044.29
HK,T5727593,HK10,3415.0,3812192.24
HK,T5727593,HK11,5739.0,5468906.56
HK,T5727593,HK12,3892.0,4495170.47
HK,T5727593,HK13,5980.0,5673267.32
HK,T5727593,HK14,6802.0,8242708.63
HK,T6189452,HK20,7292.0,7898090.33
HK,T6189452,HK21,4484.0,4646789.86
HK,T6189452,HK22,2353.0,3044178.69
HK,T6189452,HK23,2215.0,2185821.65
LON,T2121033,LON20,5576.0,5968446.12
LON,T2121033,LON21,5116.0,5223436.85
LON,T2121033,LON22,9729.0,10630432.4
LON,T2121033,LON23,2490.0,2323890.29
LON,T2121033,LON24,5132.0,4589611.94
LON,T2121033,LON25,4770.0,5499229.8
LON,T6326422,LON00,4079.0,4604547.32
LON,T6326422,LON01,1849.0,2199646.41
LON,T6326422,LON02,6433.0,7345460.32
LON,T6326422,LON03,2700.0,2532855.9
LON,T6326422,LON04,3308.0,2891576.7
LON,T7210244,LON10,6344.0,6566081.72
LON,T7210244,LON11,4145.0,4269905.69
LON,T7210244,LON12,6358.0,6147620.29
LON,T7210244,LON13,4369.0,4788046.04
LON,T7210244,LON14,3585.0,3517025.98
NY,T1087795,NY20,2140.0,2216694.99
NY,T1087795,NY21,2197.0,2017186.39
NY,T1087795,NY22,1258.0,1098621.74
NY,T1087795,NY23,7978.0,8132079.34
NY,T2078717,NY00,3451.0,3708882.33
NY,T2078717,NY01,2953.0,3551980.53
NY,T2078717,NY02,4345.0,3985948.51
NY,T2078717,NY03,3102.0,4139787.46
NY,T2078717,NY04,8422.0,7896760.14
NY,T4439875,NY40,3576.0,2848704.6
NY,T4439875,NY41,6998.0,6546038.67
NY,T4439875,NY42,4862.0,4390055.23
NY,T4439875,NY43,2638.0,2718066.1
NY,T4439875,NY44,2592.0,3064795.58
NY,T4848015,NY30,2985.0,3058028.43
NY,T4848015,NY31,2715.0,2480502.98
NY,T4848015,NY32,2557.0,2633513.2
NY,T4848015,NY33,4824.0,5979623.7
NY,T4848015,NY34,4028.0,3810204.98
NY,T4848015,NY35,5326.0,5583666.65
NY,T7375392,NY10,4476.0,3962683.59
NY,T7375392,NY11,3799.0,4338178.75
NY,T7375392,NY12,4526.0,4092261.46
NY,T7375392,NY13,6589.0,6766766.58
SG,T5983248,SG00,2150.0,1678938.48
SG,T5983248,SG01,4861.0,5345681.26
SG,T5983248,SG02,3644.0,4583479.64
SG,T5983248,SG03,4758.0,5671176.05
SG,T5983248,SG04,3047.0,2898684.52
SG,T5983248,SG05,2367.0,2412071.7
SG,T9277645,SG10,7101.0,9043745.15
SG,T9277645,SG11,7275.0,6866933.38
SG,T9277645,SG12,5969.0,6950930.34
SG,T9277645,SG13,6520.0,6976572.38
SG,T9277645,SG14,1761.0,1698776.11
SG,T9564084,SG20,1816.0,2145877.17
SG,T9564084,SG21,2440.0,1976651.74
SG,T9564084,SG22,4148.0,5307804.76
SG,T9564084,SG23,2762.0,2570484.74
SYD,T5521536,SYD10,2811.0,2623641.46
SYD,T5521536,SYD11,3702.0,4131600.6
SYD,T5521536,SYD12,3455.0,3095702.51
SYD,T5521536,SYD13,8043.0,6848994.65
SYD,T8621521,SYD00,2719.0,2806890.45
SYD,T8621521,SYD01,3902.0,4584012.97
SYD,T8621521,SYD02,5262.0,4873032.39
SYD,T8621521,SYD03,2200.0,2302079.68
TOK,T2697765,TOK00,2311.0,1900643.02
TOK,T2697765,TOK01,5065.0,4622064.28
TOK,T2697765,TOK02,6462.0,6345377.02
TOK,T2697765,TOK03,4443.0,4256396.82
TOK,T2697765,TOK04,4361.0,4431147.58
TOK,T3121807,TOK20,2455.0,2443651.38
TOK,T3121807,TOK21,5680.0,6294554.75
TOK,T3121807,TOK22,3341.0,2912778.54
TOK,T3121807,TOK23,1962.0,2242931.31
TOK,T3121807,TOK24,3131.0,2746641.51
TOK,T3121807,TOK25,2154.0,1756283.04
TOK,T3937126,TOK30,4649.0,4341627.75
TOK,T3937126,TOK31,852.0,820031.25
TOK,T3937126,TOK32,2790.0,2540282.73
TOK,T3937126,TOK33,4313.0,5145148.03
TOK,T9108891,TOK10,5742.0,6552814.52
TOK,T9108891,TOK11,3573.0,2875509.5
TOK,T9108891,TOK12,8233.0,9517706.1
TOK,T9108891,TOK13,2845.0,2548733.56
