Desk,Currency,Positions,NV
HK,AUZ,11263.0,12910443.6
HK,CNX,16044.0,20394982.2
HK,HKX,16573.0,17298881.82
HK,JPX,20544.0,22529571.28
HK,SGX,19249.0,18522523.95
HK,USX,12791.0,12532039.0
LON,AUZ,11532.0,13983511.56
LON,CNX,18937.0,26606840.84
LON,HKX,14332.0,17719774.46
LON,JPX,10209.0,10993132.78
LON,SGX,22199.0,20104123.34
LON,USX,19319.0,17005402.0
NY,AUZ,11921.0,12392655.61
NY,CNX,19586.0,25231082.05
NY,HKX,19331.0,23248345.38
NY,JPX,16572.0,16696329.1
NY,SGX,12835.0,11263268.2
NY,USX,20542.0,18896815.0
SG,AUZ,16865.0,19021651.62
SG,CNX,14455.0,18404212.63
SG,HKX,18167.0,18449424.0
SG,JPX,19120.0,19981090.44
SG,SGX,13352.0,11743438.54
SG,USX,21362.0,19457902.0
SYD,AUZ,8011.0,7496378.51
SYD,CNX,7571.0,10722299.34
SYD,HKX,9227.0,11610281.81
SYD,JPX,12826.0,13626396.0
SYD,SGX,12473.0,11127734.85
SYD,USX,6210.0,4844257.0
TOK,AUZ,21214.0,23221212.08
TOK,CNX,14117.0,17791086.12
TOK,HKX,17228.0,19163827.83
TOK,JPX,14538.0,13892556.01
TOK,SGX,13457.0,14105530.79
TOK,USX,15480.0,15011767.0
