Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,5531.0,5139492.97
HK,T3179669,HK31,2508.0,3203119.54
HK,T3179669,HK32,1008.0,638052.64
HK,T3179669,HK33,6140.0,7029358.74
HK,T3800229,HK00,5157.0,5545651.19
HK,T3800229,HK01,5565.0,6390300.64
HK,T3800229,HK02,4924.0,5254107.16
HK,T3800229,HK03,8587.0,9897426.32
HK,T3800229,HK04,7951.0,8159328.71
HK,T5727593,HK10,3036.0,3538537.66
HK,T5727593,HK11,5941.0,5684695.43
HK,T5727593,HK12,5212.0,5858772.59
HK,T5727593,HK13,6807.0,8190339.72
HK,T5727593,HK14,9154.0,9228269.62
HK,T6189452,HK20,7618.0,8192065.2
HK,T6189452,HK21,5733.0,6359320.06
HK,T6189452,HK22,3441.0,3900625.47
HK,T6189452,HK23,2151.0,1978978.19
LON,T2121033,LON20,7343.0,8555906.3
LON,T2121033,LON21,5367.0,5341305.96
LON,T2121033,LON22,11451.0,14715840.14
LON,T2121033,LON23,2213.0,2013213.76
LON,T2121033,LON24,5633.0,5122740.14
LON,T2121033,LON25,6852.0,7316696.95
LON,T6326422,LON00,5668.0,5125172.34
LON,T6326422,LON01,2723.0,3841083.91
LON,T6326422,LON02,8451.0,8401767.43
LON,T6326422,LON03,5585.0,7244845.47
LON,T6326422,LON04,4041.0,5127674.38
LON,T7210244,LON10,6493.0,5800886.16
LON,T7210244,LON11,5629.0,6052101.95
LON,T7210244,LON12,8437.0,10731905.31
LON,T7210244,LON13,5264.0,5626590.68
LON,T7210244,LON14,5378.0,5395054.1
NY,T1087795,NY20,1528.0,1564812.52
NY,T1087795,NY21,2502.0,2696538.29
NY,T1087795,NY22,1683.0,1735125.47
NY,T1087795,NY23,6404.0,6925955.43
NY,T2078717,NY00,3028.0,2156458.35
NY,T2078717,NY01,2680.0,2251291.02
NY,T2078717,NY02,4889.0,5567005.18
NY,T2078717,NY03,3647.0,3630913.76
NY,T2078717,NY04,8422.0,9161907.68
NY,T4439875,NY40,3983.0,4399478.57
NY,T4439875,NY41,7813.0,8373198.52
NY,T4439875,NY42,4570.0,4620472.72
NY,T4439875,NY43,1748.0,1319777.93
NY,T4439875,NY44,3385.0,3991511.0
NY,T4848015,NY30,4008.0,3474635.44
NY,T4848015,NY31,2260.0,1814985.91
NY,T4848015,NY32,3213.0,3546235.94
NY,T4848015,NY33,5203.0,5118990.5
NY,T4848015,NY34,5283.0,6419953.87
NY,T4848015,NY35,5326.0,6135875.59
NY,T7375392,NY10,4671.0,5406984.05
NY,T7375392,NY11,3562.0,4013052.89
NY,T7375392,NY12,5122.0,6017060.85
NY,T7375392,NY13,5857.0,7386273.86
SG,T5983248,SG00,4326.0,4998578.17
SG,T5983248,SG01,8943.0,8926546.65
SG,T5983248,SG02,6871.0,6880497.81
SG,T5983248,SG03,6314.0,6537164.19
SG,T5983248,SG04,6486.0,7451540.59
SG,T5983248,SG05,7662.0,7748427.91
SG,T9277645,SG10,8871.0,8621952.44
SG,T9277645,SG11,10270.0,10399472.31
SG,T9277645,SG12,10251.0,9780669.0
SG,T9277645,SG13,11737.0,12324749.04
SG,T9277645,SG14,4173.0,4536322.92
SG,T9564084,SG20,4498.0,4783382.57
SG,T9564084,SG21,3536.0,3631115.37
SG,T9564084,SG22,5726.0,6339509.44
SG,T9564084,SG23,3657.0,4097790.82
SYD,T5521536,SYD10,4022.0,4203821.11
SYD,T5521536,SYD11,7225.0,9262599.4
SYD,T5521536,SYD12,7075.0,6696772.29
SYD,T5521536,SYD13,13819.0,14074829.71
SYD,T8621521,SYD00,4489.0,4575672.29
SYD,T8621521,SYD01,5927.0,4746805.64
SYD,T8621521,SYD02,6391.0,7975780.75
SYD,T8621521,SYD03,7370.0,7891066.32
TOK,T2697765,TOK00,3760.0,4325387.59
TOK,T2697765,TOK01,4763.0,5704331.0
TOK,T2697765,TOK02,8195.0,9256264.2
TOK,T2697765,TOK03,3832.0,3584711.12
TOK,T2697765,TOK04,5607.0,6378412.83
TOK,T3121807,TOK20,6302.0,8125652.23
TOK,T3121807,TOK21,9482.0,9751425.02
TOK,T3121807,TOK22,3487.0,3798355.26
TOK,T3121807,TOK23,2459.0,3016159.14
TOK,T3121807,TOK24,2999.0,3488301.01
TOK,T3121807,TOK25,2526.0,3244317.17
TOK,T3937126,TOK30,5304.0,5691115.52
TOK,T3937126,TOK31,2320.0,2095408.52
TOK,T3937126,TOK32,5239.0,5405857.8
TOK,T3937126,TOK33,4054.0,3435795.84
TOK,T9108891,TOK10,6446.0,5095399.46
TOK,T9108891,TOK11,5112.0,5397869.75
TOK,T9108891,TOK12,10365.0,11778361.57
TOK,T9108891,TOK13,3782.0,3612854.8
