Desk,Trader,Book,BondID,Positions,NV
HK,T3179669,HK30,B04712,364.0,241696.0
HK,T3179669,HK30,B05609,404.0,208692.21
HK,T3179669,HK30,B16316,242.0,343398.0
HK,T3179669,HK30,B17266,789.0,635934.0
HK,T3179669,HK30,B25841,536.0,310880.0
HK,T3179669,HK30,B27023,218.0,146714.0
HK,T3179669,HK30,B27558,37.0,53982.88
HK,T3179669,HK30,B28659,863.0,1050488.4
HK,T3179669,HK30,B34105,738.0,366437.5
HK,T3179669,HK30,B45214,830.0,1188046.79
HK,T3179669,HK30,B45918,510.0,593223.19
HK,T3179669,HK31,B03283,231.0,262079.12
HK,T3179669,HK31,B16316,164.0,232716.0
HK,T3179669,HK31,B38589,98.0,149400.84
HK,T3179669,HK31,B44611,575.0,581900.0
HK,T3179669,HK31,B45214,166.0,237609.36
HK,T3179669,HK31,B45918,143.0,166335.13
HK,T3179669,HK31,B48886,1131.0,1573079.09
HK,T3179669,HK32,B31214,355.0,313820.0
HK,T3179669,HK32,B34105,653.0,324232.64
HK,T3179669,HK33,B02473,476.0,415350.12
HK,T3179669,HK33,B05609,677.0,349714.43
HK,T3179669,HK33,B08521,835.0,783464.41
HK,T3179669,HK33,B23639,208.0,92785.33
HK,T3179669,HK33,B27558,204.0,297635.32
HK,T3179669,HK33,B28917,198.0,293635.75
HK,T3179669,HK33,B38589,215.0,327767.14
HK,T3179669,HK33,B45193,1159.0,1514084.78
HK,T3179669,HK33,B45214,1615.0,2311681.41
HK,T3179669,HK33,B45918,553.0,643240.05
HK,T3800229,HK00,B02473,256.0,223381.58
HK,T3800229,HK00,B03283,410.0,465162.08
HK,T3800229,HK00,B16316,733.0,1040127.0
HK,T3800229,HK00,B17901,655.0,600298.81
HK,T3800229,HK00,B18694,892.0,832942.17
HK,T3800229,HK00,B25841,158.0,91640.0
HK,T3800229,HK00,B28659,602.0,732785.65
HK,T3800229,HK00,B28917,108.0,160164.96
HK,T3800229,HK00,B34105,412.0,204569.44
HK,T3800229,HK00,B44611,625.0,632500.0
HK,T3800229,HK00,B47982,306.0,562079.5
HK,T3800229,HK01,B05609,704.0,363661.68
HK,T3800229,HK01,B08521,664.0,623018.41
HK,T3800229,HK01,B11094,259.0,412703.59
HK,T3800229,HK01,B17266,857.0,690742.0
HK,T3800229,HK01,B28659,619.0,753478.93
HK,T3800229,HK01,B28917,1067.0,1582370.44
HK,T3800229,HK01,B38589,836.0,1274480.61
HK,T3800229,HK01,B44611,263.0,266156.0
HK,T3800229,HK01,B45214,296.0,423688.98
HK,T3800229,HK02,B05609,709.0,366244.5
HK,T3800229,HK02,B08521,389.0,364991.2
HK,T3800229,HK02,B10340,147.0,177166.86
HK,T3800229,HK02,B17266,788.0,635128.0
HK,T3800229,HK02,B18694,855.0,798391.88
HK,T3800229,HK02,B27558,495.0,722203.36
