Desk,Trader,Book,BondID,Positions,NV
HK,T3800229,HK00,B17901,655.0,1386641.36
HK,T3800229,HK02,B05609,709.0,706513.13
HK,T3800229,HK02,B47982,739.0,924092.84
HK,T3800229,HK02,B48886,412.0,503793.08
HK,T3800229,HK03,B28659,841.0,830869.77
HK,T3800229,HK03,B31214,863.0,987272.0
HK,T3800229,HK04,B18694,436.0,551414.14
HK,T3800229,HK04,B25841,455.0,459326.79
HK,T3800229,HK04,B45214,124.0,146728.64
HK,T5727593,HK13,B18694,283.0,357913.31
HK,T5727593,HK13,B27023,371.0,241521.0
HK,T5727593,HK14,B28917,421.0,569743.8
HK,T5727593,HK14,B31214,162.0,185328.0
HK,T6189452,HK20,B34105,371.0,397924.27
LON,T2121033,LON20,B18694,634.0,801826.99
LON,T2121033,LON22,B47982,986.0,1232957.42
LON,T2121033,LON23,B27558,211.0,146558.58
LON,T2121033,LON24,B28659,534.0,527567.73
LON,T2121033,LON25,B18694,607.0,767679.78
LON,T6326422,LON02,B04712,629.0,735301.0
LON,T6326422,LON02,B18694,839.0,1061092.81
LON,T6326422,LON02,B27558,875.0,607766.62
LON,T6326422,LON02,B45918,963.0,664984.99
LON,T7210244,LON13,B23639,878.0,729373.61
LON,T7210244,LON14,B34105,121.0,129781.23
NY,T1087795,NY20,B17266,319.0,391765.83
NY,T1087795,NY23,B05609,368.0,366709.21
NY,T1087795,NY23,B08521,207.0,234738.0
NY,T2078717,NY00,B04712,139.0,162491.0
NY,T2078717,NY00,B34105,657.0,704679.91
NY,T2078717,NY01,B44611,231.0,188265.0
NY,T2078717,NY02,B16316,398.0,338698.0
NY,T2078717,NY02,B17901,987.0,2089488.58
NY,T2078717,NY02,B48886,618.0,755689.62
NY,T2078717,NY04,B48886,220.0,269015.72
NY,T4439875,NY40,B04712,237.0,736470.0
NY,T4439875,NY41,B23639,550.0,456896.91
NY,T4439875,NY41,B31214,726.0,830544.0
NY,T4439875,NY42,B01774,617.0,907535.12
NY,T4439875,NY42,B05609,147.0,146484.39
NY,T4439875,NY42,B17901,965.0,2042914.37
NY,T4439875,NY44,B35648,648.0,620136.0
NY,T4848015,NY31,B45193,211.0,320298.0
NY,T4848015,NY33,B02473,556.0,343626.88
NY,T4848015,NY34,B05609,859.0,855986.99
NY,T4848015,NY35,B23639,567.0,471019.18
NY,T7375392,NY11,B17266,950.0,1166700.76
NY,T7375392,NY11,B45918,227.0,156751.39
NY,T7375392,NY13,B27558,802.0,557061.51
NY,T7375392,NY13,B38589,789.0,562681.39
SG,T5983248,SG00,B03283,362.0,327693.97
SG,T5983248,SG02,B35648,955.0,913935.0
SG,T5983248,SG03,B23639,440.0,365517.53
SG,T9277645,SG10,B08521,224.0,254016.0
SG,T9277645,SG13,B10340,116.0,108493.71
SG,T9277645,SG13,B28917,442.0,598163.32
SG,T9277645,SG14,B03283,663.0,600168.79
SG,T9277645,SG14,B17266,559.0,686511.29
SG,T9564084,SG20,B35648,420.0,401940.0
SG,T9564084,SG21,B10340,208.0,194540.44
SG,T9564084,SG21,B18694,119.0,150500.65
SG,T9564084,SG22,B08521,999.0,1132866.0
SYD,T5521536,SYD11,B16316,684.0,582084.0
SYD,T5521536,SYD11,B45918,283.0,195421.34
SYD,T5521536,SYD13,B31538,836.0,1411979.65
TOK,T2697765,TOK00,B04712,437.0,510853.0
TOK,T2697765,TOK01,B17901,131.0,277328.27
TOK,T2697765,TOK01,B28659,807.0,797279.32
TOK,T2697765,TOK02,B17901,448.0,948420.35
TOK,T3121807,TOK21,B02473,480.0,296656.3
TOK,T3121807,TOK21,B05609,226.0,225207.29
TOK,T3121807,TOK21,B38589,836.0,596199.8
TOK,T3121807,TOK22,B25841,155.0,156473.96
TOK,T3121807,TOK22,B27023,485.0,315735.0
TOK,T3121807,TOK22,B47982,689.0,861569.64
TOK,T3121807,TOK23,B02473,284.0,175521.65
TOK,T3121807,TOK23,B45918,806.0,556571.03
TOK,T3121807,TOK24,B28659,858.0,847665.0
TOK,T3121807,TOK24,B45193,874.0,1326732.0
TOK,T3937126,TOK30,B16316,968.0,823768.0
TOK,T3937126,TOK31,B18694,195.0,246618.71
TOK,T9108891,TOK10,B01774,130.0,191214.85
TOK,T9108891,TOK10,B34105,108.0,115837.79
TOK,T9108891,TOK12,B03283,773.0,699744.3
TOK,T9108891,TOK12,B31214,243.0,277992.0
TOK,T9108891,TOK13,B31538,537.0,906977.36
