Desk,Currency,Positions,NV
HK,AUZ,1076.0,1956385.16
HK,HKX,867.0,963119.87
HK,JPX,1674.0,1684111.54
HK,SGX,1829.0,2231344.56
HK,USX,1396.0,1414121.0
LON,CNX,2049.0,1419310.19
LON,JPX,534.0,527567.73
LON,SGX,4065.0,4722711.84
LON,USX,629.0,735301.0
NY,AUZ,2780.0,5360236.07
NY,CNX,2025.0,1511232.29
NY,HKX,1394.0,1368332.22
NY,JPX,3291.0,3547783.18
NY,SGX,1774.0,1632596.0
NY,USX,1731.0,2256468.0
SG,AUZ,442.0,598163.32
SG,CNX,1223.0,1386882.0
SG,HKX,324.0,303034.15
SG,JPX,1934.0,2002386.29
SG,SGX,1584.0,1443880.94
SYD,AUZ,836.0,1411979.65
SYD,CNX,283.0,195421.34
SYD,USX,684.0,582084.0
TOK,AUZ,2120.0,3650672.83
TOK,CNX,1642.0,1152770.83
TOK,HKX,919.0,628651.91
TOK,JPX,1891.0,1870151.61
TOK,SGX,1765.0,1923770.44
TOK,USX,2133.0,1928348.0
