Desk,Trader,Book,BondID,Positions,NV
HK,T3179669,HK30,B27558,873.0,584688.82
HK,T3800229,HK00,B17901,655.0,823990.0
HK,T3800229,HK02,B05609,709.0,690812.84
HK,T3800229,HK02,B47982,739.0,1434192.08
HK,T3800229,HK02,B48886,412.0,345844.57
HK,T3800229,HK03,B28659,841.0,569357.0
HK,T3800229,HK03,B31214,863.0,987272.0
HK,T3800229,HK04,B18694,436.0,477681.6
HK,T3800229,HK04,B25841,455.0,242946.79
HK,T3800229,HK04,B27023,994.0,563598.0
HK,T3800229,HK04,B45214,124.0,140569.16
HK,T5727593,HK13,B18694,283.0,310054.8
HK,T5727593,HK13,B27023,371.0,210357.0
HK,T5727593,HK14,B28917,421.0,317208.71
HK,T5727593,HK14,B31214,162.0,185328.0
HK,T6189452,HK20,B34105,371.0,304973.87
LON,T2121033,LON20,B18694,634.0,694610.4
LON,T2121033,LON20,B23639,431.0,555679.68
LON,T2121033,LON22,B47982,986.0,1913549.92
LON,T2121033,LON23,B27558,211.0,141316.54
LON,T2121033,LON24,B28659,534.0,361518.0
LON,T2121033,LON25,B18694,607.0,665029.2
LON,T6326422,LON02,B04712,629.0,735301.0
LON,T6326422,LON02,B18694,839.0,919208.4
LON,T6326422,LON02,B27558,875.0,586028.32
LON,T6326422,LON02,B45918,963.0,1263456.0
LON,T7210244,LON11,B45214,449.0,508996.38
LON,T7210244,LON12,B47982,684.0,1327452.48
LON,T7210244,LON13,B23639,878.0,1131987.84
LON,T7210244,LON14,B34105,121.0,99465.87
NY,T1087795,NY20,B17266,319.0,363660.0
NY,T1087795,NY23,B05609,368.0,358560.12
NY,T1087795,NY23,B08521,207.0,204286.79
NY,T2078717,NY00,B04712,139.0,162491.0
NY,T2078717,NY00,B34105,657.0,540075.02
NY,T2078717,NY01,B44611,231.0,188265.0
NY,T2078717,NY02,B16316,398.0,418298.0
NY,T2078717,NY02,B17901,987.0,1241646.0
NY,T2078717,NY02,B35479,930.0,748695.08
NY,T2078717,NY02,B48886,618.0,518766.86
NY,T2078717,NY04,B48886,220.0,184674.29
NY,T4439875,NY40,B04712,237.0,736470.0
NY,T4439875,NY41,B23639,550.0,709104.0
NY,T4439875,NY41,B31214,726.0,830544.0
NY,T4439875,NY42,B01774,617.0,600711.2
NY,T4439875,NY42,B05609,147.0,143229.18
NY,T4439875,NY42,B17901,965.0,1213970.0
NY,T4439875,NY44,B35648,648.0,606355.2
NY,T4848015,NY31,B45193,211.0,227880.0
NY,T4848015,NY33,B02473,556.0,712831.71
NY,T4848015,NY34,B05609,859.0,836965.06
NY,T4848015,NY35,B23639,567.0,731021.76
NY,T7375392,NY11,B17266,950.0,1083000.0
NY,T7375392,NY11,B45918,227.0,297824.0
NY,T7375392,NY13,B27558,802.0,537136.81
NY,T7375392,NY13,B38589,789.0,542555.67
SG,T5983248,SG00,B03283,362.0,288777.54
SG,T5983248,SG02,B35648,955.0,893625.33
SG,T5983248,SG03,B17266,992.0,1130880.0
SG,T5983248,SG03,B23639,440.0,567283.2
SG,T5983248,SG04,B27023,839.0,475713.0
SG,T9277645,SG10,B08521,224.0,221063.96
SG,T9277645,SG11,B01774,231.0,224901.6
SG,T9277645,SG13,B10340,116.0,110015.94
SG,T9277645,SG13,B28917,442.0,333031.47
SG,T9277645,SG14,B03283,663.0,528893.66
SG,T9277645,SG14,B17266,559.0,637260.0
SG,T9564084,SG20,B35648,420.0,393008.0
SG,T9564084,SG21,B10340,208.0,197269.96
SG,T9564084,SG21,B18694,119.0,130376.4
SG,T9564084,SG22,B08521,999.0,985905.8
SYD,T5521536,SYD11,B16316,684.0,718884.0
SYD,T5521536,SYD11,B45918,283.0,371296.0
SYD,T5521536,SYD13,B31538,836.0,769345.95
TOK,T2697765,TOK00,B04712,437.0,510853.0
TOK,T2697765,TOK01,B17901,131.0,164798.0
TOK,T2697765,TOK01,B28659,807.0,546339.0
TOK,T2697765,TOK02,B17901,448.0,563584.0
TOK,T3121807,TOK21,B02473,480.0,615394.29
TOK,T3121807,TOK21,B05609,226.0,220202.68
TOK,T3121807,TOK21,B38589,836.0,574875.21
TOK,T3121807,TOK22,B25841,155.0,82762.09
TOK,T3121807,TOK22,B27023,485.0,274995.0
TOK,T3121807,TOK22,B47982,689.0,1337156.08
TOK,T3121807,TOK23,B02473,284.0,364108.29
TOK,T3121807,TOK23,B45918,806.0,1057472.0
TOK,T3121807,TOK24,B28659,858.0,580866.0
TOK,T3121807,TOK24,B45193,874.0,943920.0
TOK,T3937126,TOK30,B16316,968.0,1017368.0
TOK,T3937126,TOK31,B18694,195.0,213642.0
TOK,T3937126,TOK32,B25841,527.0,281391.11
TOK,T9108891,TOK10,B01774,130.0,126568.0
TOK,T9108891,TOK10,B34105,108.0,88779.46
TOK,T9108891,TOK12,B03283,773.0,616643.74
TOK,T9108891,TOK12,B31214,243.0,277992.0
TOK,T9108891,TOK13,B31538,537.0,494185.14
