Desk,Trader,Book,Positions,NV
HK,T3800229,HK02,739.0,876428.69
HK,T3800229,HK03,1704.0,1996980.0
HK,T3800229,HK04,891.0,758609.49
HK,T5727593,HK13,654.0,441196.4
HK,T5727593,HK14,583.0,630209.0
LON,T2121033,LON20,634.0,387486.9
LON,T2121033,LON22,986.0,1169362.23
LON,T6326422,LON02,1838.0,1330402.85
LON,T7210244,LON13,878.0,726977.99
LON,T7210244,LON14,121.0,134915.0
NY,T1087795,NY23,368.0,453376.0
NY,T2078717,NY00,139.0,93547.0
NY,T2078717,NY02,1615.0,1803821.32
NY,T2078717,NY04,220.0,203280.0
NY,T4439875,NY40,630.0,423990.0
NY,T4439875,NY41,1276.0,1413716.23
NY,T4439875,NY42,965.0,1143744.32
NY,T4439875,NY44,648.0,591367.6
NY,T4848015,NY31,211.0,221761.0
NY,T4848015,NY33,556.0,458062.32
NY,T4848015,NY34,859.0,1058288.0
NY,T4848015,NY35,567.0,469472.12
NY,T7375392,NY11,950.0,924302.16
NY,T7375392,NY13,802.0,654418.45
SG,T5983248,SG00,362.0,510876.22
SG,T5983248,SG03,440.0,364316.99
SG,T9277645,SG10,224.0,297963.35
SG,T9277645,SG13,558.0,544735.82
SG,T9277645,SG14,1222.0,1479544.41
SG,T9564084,SG21,327.0,265664.21
SG,T9564084,SG22,999.0,1328863.35
SYD,T5521536,SYD13,836.0,1748126.67
TOK,T2697765,TOK00,437.0,294101.0
TOK,T2697765,TOK01,938.0,978404.77
TOK,T2697765,TOK02,448.0,530981.82
TOK,T3121807,TOK21,1062.0,989409.55
TOK,T3121807,TOK22,1174.0,1167785.4
TOK,T3121807,TOK23,284.0,233974.28
TOK,T3121807,TOK24,1732.0,1793734.0
TOK,T3937126,TOK30,968.0,1025112.0
TOK,T9108891,TOK10,238.0,290460.0
