Desk,Currency,Positions,NV
HK,AUZ,421.0,416369.0
HK,HKX,455.0,492135.85
HK,JPX,841.0,857820.0
HK,SGX,1458.0,1315865.73
HK,USX,1396.0,1621233.0
LON,CNX,1838.0,1330402.85
LON,SGX,2619.0,2418742.12
NY,AUZ,2163.0,2535324.64
NY,CNX,802.0,654418.45
NY,HKX,1006.0,873862.32
NY,JPX,2825.0,3027333.76
NY,SGX,1117.0,924868.35
NY,USX,1893.0,1897339.0
SG,AUZ,442.0,437138.0
SG,CNX,1223.0,1626826.7
SG,HKX,324.0,300531.84
SG,JPX,559.0,543878.85
SG,SGX,1584.0,1883588.96
SYD,AUZ,836.0,1748126.67
TOK,AUZ,1583.0,1774860.59
TOK,CNX,836.0,710977.55
TOK,HKX,284.0,233974.28
TOK,JPX,1891.0,1976732.0
TOK,SGX,797.0,937550.4
TOK,USX,1890.0,1669868.0
