Desk,Trader,Book,BondID,Positions,NV
HK,T3800229,HK00,B17901,655.0,701194.74
HK,T3800229,HK02,B05609,709.0,701201.0
HK,T3800229,HK02,B47982,739.0,648694.2
HK,T3800229,HK02,B48886,412.0,505701.39
HK,T3800229,HK03,B28659,841.0,824622.63
HK,T3800229,HK03,B31214,863.0,1139160.0
HK,T3800229,HK04,B18694,436.0,611281.97
HK,T3800229,HK04,B25841,455.0,461066.67
HK,T3800229,HK04,B45214,124.0,145625.41
HK,T5727593,HK13,B18694,283.0,396772.47
HK,T5727593,HK13,B27023,371.0,436296.0
HK,T5727593,HK14,B28917,421.0,441230.16
HK,T5727593,HK14,B31214,162.0,213840.0
HK,T6189452,HK20,B34105,371.0,181062.84
LON,T2121033,LON20,B18694,634.0,888882.49
LON,T2121033,LON22,B47982,986.0,865510.8
LON,T2121033,LON23,B27558,211.0,102068.9
LON,T2121033,LON24,B28659,534.0,523601.05
LON,T6326422,LON02,B04712,629.0,735301.0
LON,T6326422,LON02,B27558,875.0,423271.52
LON,T6326422,LON02,B45918,963.0,617281.62
LON,T7210244,LON13,B23639,878.0,559190.67
LON,T7210244,LON14,B34105,121.0,59052.84
NY,T1087795,NY20,B17266,319.0,388820.23
NY,T1087795,NY23,B05609,368.0,363952.0
NY,T2078717,NY00,B04712,139.0,162491.0
NY,T2078717,NY01,B44611,231.0,329175.0
NY,T2078717,NY02,B16316,398.0,338698.0
NY,T2078717,NY02,B17901,987.0,1056609.47
NY,T2078717,NY02,B48886,618.0,758552.08
NY,T2078717,NY04,B48886,220.0,270034.72
NY,T4439875,NY40,B04712,237.0,736470.0
NY,T4439875,NY41,B23639,550.0,350290.29
NY,T4439875,NY41,B31214,726.0,958320.0
NY,T4439875,NY42,B01774,617.0,702827.95
NY,T4439875,NY42,B17901,965.0,1033057.89
NY,T4439875,NY44,B35648,648.0,510409.62
NY,T4848015,NY31,B45193,211.0,248050.33
NY,T4848015,NY33,B02473,556.0,496617.52
NY,T4848015,NY34,B05609,859.0,849551.0
NY,T4848015,NY35,B23639,567.0,361117.44
NY,T7375392,NY11,B17266,950.0,1157928.57
NY,T7375392,NY13,B27558,802.0,387958.58
SG,T5983248,SG00,B03283,362.0,363272.17
SG,T5983248,SG03,B23639,440.0,280232.23
SG,T9277645,SG10,B08521,224.0,281792.0
SG,T9277645,SG13,B10340,116.0,114468.13
SG,T9277645,SG13,B28917,442.0,463239.26
SG,T9277645,SG14,B03283,663.0,665329.97
SG,T9277645,SG14,B17266,559.0,681349.55
SG,T9564084,SG20,B35648,420.0,330821.05
SG,T9564084,SG21,B10340,208.0,205253.19
SG,T9564084,SG21,B18694,119.0,166840.72
SG,T9564084,SG22,B08521,999.0,1256742.0
SYD,T5521536,SYD11,B16316,684.0,582084.0
SYD,T5521536,SYD11,B45918,283.0,181402.59
SYD,T5521536,SYD13,B31538,836.0,1734982.86
TOK,T2697765,TOK00,B04712,437.0,510853.0
TOK,T2697765,TOK01,B17901,131.0,140238.95
TOK,T2697765,TOK01,B28659,807.0,791284.74
TOK,T2697765,TOK02,B17901,448.0,479595.79
TOK,T3121807,TOK21,B02473,480.0,428734.55
TOK,T3121807,TOK21,B05609,226.0,223514.0
TOK,T3121807,TOK21,B38589,836.0,553430.8
TOK,T3121807,TOK22,B27023,485.0,570360.0
TOK,T3121807,TOK22,B47982,689.0,604804.2
TOK,T3121807,TOK23,B02473,284.0,253667.94
TOK,T3121807,TOK24,B28659,858.0,841291.58
TOK,T3121807,TOK24,B45193,874.0,1027469.14
TOK,T3937126,TOK30,B16316,968.0,823768.0
TOK,T9108891,TOK10,B01774,130.0,148083.68
TOK,T9108891,TOK10,B34105,108.0,52708.32
TOK,T9108891,TOK12,B03283,773.0,775716.54
TOK,T9108891,TOK13,B31538,537.0,1114456.69
