Desk,Currency,Positions,NV
HK,AUZ,1076.0,1142424.9
HK,HKX,867.0,966768.06
HK,JPX,1674.0,1671449.04
HK,SGX,1829.0,1837811.48
HK,USX,1396.0,1789296.0
LON,CNX,2049.0,1142622.04
LON,JPX,534.0,523601.05
LON,SGX,2619.0,2372636.8
LON,USX,629.0,735301.0
NY,AUZ,2780.0,3040545.64
NY,CNX,802.0,387958.58
NY,HKX,1394.0,1525204.32
NY,JPX,3144.0,3270661.42
NY,SGX,1117.0,711407.73
NY,USX,1731.0,2525154.0
SG,AUZ,442.0,463239.26
SG,CNX,1223.0,1538534.0
SG,HKX,324.0,319721.32
SG,JPX,979.0,1012170.6
SG,SGX,1584.0,1475675.09
SYD,AUZ,836.0,1734982.86
SYD,CNX,283.0,181402.59
SYD,USX,684.0,582084.0
TOK,AUZ,2120.0,2909844.25
TOK,CNX,836.0,553430.8
TOK,HKX,764.0,682402.49
TOK,JPX,1891.0,1856090.32
TOK,SGX,1570.0,1433229.06
TOK,USX,1890.0,1904981.0
