Desk,Trader,Book,Positions,NV
HK,T3800229,HK00,655.0,701194.74
HK,T3800229,HK02,1860.0,1855596.59
HK,T3800229,HK03,1704.0,1963782.63
HK,T3800229,HK04,1015.0,1217974.05
HK,T5727593,HK13,654.0,833068.47
HK,T5727593,HK14,583.0,655070.16
HK,T6189452,HK20,371.0,181062.84
LON,T2121033,LON20,634.0,888882.49
LON,T2121033,LON22,986.0,865510.8
LON,T2121033,LON23,211.0,102068.9
LON,T2121033,LON24,534.0,523601.05
LON,T6326422,LON02,2467.0,1775854.14
LON,T7210244,LON13,878.0,559190.67
LON,T7210244,LON14,121.0,59052.84
NY,T1087795,NY20,319.0,388820.23
NY,T1087795,NY23,368.0,363952.0
NY,T2078717,NY00,139.0,162491.0
NY,T2078717,NY01,231.0,329175.0
NY,T2078717,NY02,2003.0,2153859.55
NY,T2078717,NY04,220.0,270034.72
NY,T4439875,NY40,237.0,736470.0
NY,T4439875,NY41,1276.0,1308610.29
NY,T4439875,NY42,1582.0,1735885.84
NY,T4439875,NY44,648.0,510409.62
NY,T4848015,NY31,211.0,248050.33
NY,T4848015,NY33,556.0,496617.52
NY,T4848015,NY34,859.0,849551.0
NY,T4848015,NY35,567.0,361117.44
NY,T7375392,NY11,950.0,1157928.57
NY,T7375392,NY13,802.0,387958.58
SG,T5983248,SG00,362.0,363272.17
SG,T5983248,SG03,440.0,280232.23
SG,T9277645,SG10,224.0,281792.0
SG,T9277645,SG13,558.0,577707.39
SG,T9277645,SG14,1222.0,1346679.52
SG,T9564084,SG20,420.0,330821.05
SG,T9564084,SG21,327.0,372093.91
SG,T9564084,SG22,999.0,1256742.0
SYD,T5521536,SYD11,967.0,763486.59
SYD,T5521536,SYD13,836.0,1734982.86
TOK,T2697765,TOK00,437.0,510853.0
TOK,T2697765,TOK01,938.0,931523.69
TOK,T2697765,TOK02,448.0,479595.79
TOK,T3121807,TOK21,1542.0,1205679.35
TOK,T3121807,TOK22,1174.0,1175164.2
TOK,T3121807,TOK23,284.0,253667.94
TOK,T3121807,TOK24,1732.0,1868760.72
TOK,T3937126,TOK30,968.0,823768.0
TOK,T9108891,TOK10,238.0,200792.0
TOK,T9108891,TOK12,773.0,775716.54
TOK,T9108891,TOK13,537.0,1114456.69
