Desk,Currency,Positions,NV
HK,AUZ,11647.0,9087472.09
HK,CNX,16465.0,14084944.5
HK,HKX,15765.0,16735245.13
HK,JPX,19208.0,16096677.86
HK,SGX,19249.0,15008193.86
HK,USX,13308.0,12572368.0
LON,AUZ,11635.0,8895348.14
LON,CNX,18814.0,19263083.79
LON,HKX,14944.0,13394421.93
LON,JPX,11436.0,10479959.99
LON,SGX,20468.0,14366762.44
LON,USX,19109.0,18784357.0
NY,AUZ,10317.0,7184120.5
NY,CNX,19143.0,18617769.48
NY,HKX,20473.0,19524269.12
NY,JPX,15615.0,13964873.71
NY,SGX,13062.0,8694756.6
NY,USX,20942.0,20701398.0
SG,AUZ,17758.0,13205102.77
SG,CNX,14336.0,12176895.05
SG,HKX,17914.0,18274624.4
SG,JPX,18621.0,17761447.84
SG,SGX,12025.0,7970907.54
SG,USX,22733.0,22102742.0
SYD,AUZ,6590.0,4372452.53
SYD,CNX,8123.0,8165246.23
SYD,HKX,8513.0,7882927.88
SYD,JPX,12114.0,9902237.47
SYD,SGX,11736.0,8124578.25
SYD,USX,5675.0,6209538.0
TOK,AUZ,20801.0,14929563.91
TOK,CNX,13836.0,12670380.9
TOK,HKX,17490.0,17333660.77
TOK,JPX,15007.0,13482525.65
TOK,SGX,13188.0,8795308.57
TOK,USX,15387.0,14754093.0
