Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,5915.0,4590532.26
HK,T3179669,HK31,2508.0,2020272.25
HK,T3179669,HK32,1008.0,664046.78
HK,T3179669,HK33,5388.0,4412686.07
HK,T3800229,HK00,5157.0,4190217.92
HK,T3800229,HK01,5565.0,4772678.54
HK,T3800229,HK02,4777.0,4635110.49
HK,T3800229,HK03,8028.0,6814134.04
HK,T3800229,HK04,7951.0,7773513.71
HK,T5727593,HK10,3036.0,2917676.21
HK,T5727593,HK11,5739.0,5067745.33
HK,T5727593,HK12,5212.0,4101695.2
HK,T5727593,HK13,6333.0,5609845.0
HK,T5727593,HK14,9698.0,9363525.41
HK,T6189452,HK20,7618.0,5891570.89
HK,T6189452,HK21,5733.0,5223039.61
HK,T6189452,HK22,3441.0,3410685.18
HK,T6189452,HK23,2535.0,2125926.55
LON,T2121033,LON20,7343.0,6862635.87
LON,T2121033,LON21,5367.0,5207334.31
LON,T2121033,LON22,11451.0,9067145.59
LON,T2121033,LON23,2979.0,2690128.85
LON,T2121033,LON24,4805.0,3992420.28
LON,T2121033,LON25,6852.0,6366235.15
LON,T6326422,LON00,5418.0,4262971.93
LON,T6326422,LON01,2723.0,1949742.74
LON,T6326422,LON02,8451.0,7389417.31
LON,T6326422,LON03,5585.0,5316741.83
LON,T6326422,LON04,3887.0,3736172.57
LON,T7210244,LON10,6369.0,6271712.76
LON,T7210244,LON11,5372.0,4988978.57
LON,T7210244,LON12,8725.0,8895430.3
LON,T7210244,LON13,5264.0,3731788.93
LON,T7210244,LON14,5815.0,4455076.3
NY,T1087795,NY20,1528.0,2157845.57
NY,T1087795,NY21,2403.0,2064184.62
NY,T1087795,NY22,1683.0,1746254.57
NY,T1087795,NY23,6404.0,5126719.78
NY,T2078717,NY00,3451.0,2611780.41
NY,T2078717,NY01,2680.0,2607240.05
NY,T2078717,NY02,4889.0,4038058.93
NY,T2078717,NY03,3310.0,3140810.93
NY,T2078717,NY04,8422.0,7538106.62
NY,T4439875,NY40,4167.0,3458786.19
NY,T4439875,NY41,7813.0,6229375.55
NY,T4439875,NY42,5149.0,4243014.09
NY,T4439875,NY43,1748.0,1262796.3
NY,T4439875,NY44,2848.0,2708359.91
NY,T4848015,NY30,3676.0,3918154.45
NY,T4848015,NY31,2260.0,2114215.05
NY,T4848015,NY32,2929.0,2748782.48
NY,T4848015,NY33,4824.0,4377521.11
NY,T4848015,NY34,5283.0,3939868.09
NY,T4848015,NY35,5326.0,4975786.97
NY,T7375392,NY10,4326.0,3723612.27
NY,T7375392,NY11,3114.0,2928496.32
NY,T7375392,NY12,4730.0,4986600.97
NY,T7375392,NY13,6589.0,6040816.18
SG,T5983248,SG00,4326.0,3603644.42
SG,T5983248,SG01,9422.0,9266049.46
SG,T5983248,SG02,6871.0,5264316.07
SG,T5983248,SG03,6314.0,5730529.56
SG,T5983248,SG04,6900.0,5728963.0
SG,T5983248,SG05,7071.0,5596486.71
SG,T9277645,SG10,8871.0,7668401.52
SG,T9277645,SG11,9737.0,8817836.03
SG,T9277645,SG12,9514.0,7214320.63
SG,T9277645,SG13,11981.0,10783240.85
SG,T9277645,SG14,5222.0,4575054.12
SG,T9564084,SG20,4239.0,4176683.89
SG,T9564084,SG21,3536.0,3867828.61
SG,T9564084,SG22,5726.0,5301370.32
SG,T9564084,SG23,3657.0,3896994.41
SYD,T5521536,SYD10,4141.0,4208642.08
SYD,T5521536,SYD11,6599.0,5726008.25
SYD,T5521536,SYD12,7075.0,6427027.49
SYD,T5521536,SYD13,12690.0,9939919.02
SYD,T8621521,SYD00,4000.0,3736832.82
SYD,T8621521,SYD01,5732.0,4032159.24
SYD,T8621521,SYD02,6391.0,5247415.18
SYD,T8621521,SYD03,6123.0,5338976.28
TOK,T2697765,TOK00,3760.0,3307612.07
TOK,T2697765,TOK01,4763.0,3543834.19
TOK,T2697765,TOK02,8686.0,8531801.89
TOK,T2697765,TOK03,3832.0,3391866.14
TOK,T2697765,TOK04,5607.0,4265901.89
TOK,T3121807,TOK20,6302.0,5905615.08
TOK,T3121807,TOK21,9323.0,8834136.82
TOK,T3121807,TOK22,3801.0,3073253.84
TOK,T3121807,TOK23,2459.0,1934297.41
TOK,T3121807,TOK24,2999.0,2110693.63
TOK,T3121807,TOK25,2526.0,1969676.2
TOK,T3937126,TOK30,5225.0,2876161.54
TOK,T3937126,TOK31,2493.0,1782423.29
TOK,T3937126,TOK32,5084.0,4735238.25
TOK,T3937126,TOK33,3718.0,4021532.12
TOK,T9108891,TOK10,6446.0,5305906.85
TOK,T9108891,TOK11,4538.0,3889717.11
TOK,T9108891,TOK12,10365.0,9520799.35
TOK,T9108891,TOK13,3782.0,2965065.13
