Desk,Currency,Positions,NV
HK,AUZ,1076.0,1123371.06
HK,HKX,867.0,1061894.59
HK,JPX,1550.0,1521336.89
HK,SGX,1829.0,1486157.65
HK,USX,1396.0,1771488.0
LON,CNX,2049.0,1797208.22
LON,JPX,534.0,560818.67
LON,SGX,2619.0,2077985.48
LON,USX,629.0,872423.0
NY,AUZ,2163.0,2382151.99
NY,CNX,802.0,421194.91
NY,HKX,1006.0,1152012.0
NY,JPX,3144.0,3130982.0
NY,SGX,1117.0,870603.86
NY,USX,2124.0,2692796.0
SG,AUZ,442.0,425029.78
SG,CNX,1223.0,1622094.23
SG,HKX,324.0,358667.55
SG,JPX,559.0,671255.48
SG,SGX,1584.0,1953657.92
SYD,AUZ,836.0,1684326.42
SYD,CNX,283.0,360542.0
SYD,USX,684.0,582084.0
TOK,AUZ,1583.0,1776393.11
TOK,CNX,836.0,1040033.48
TOK,HKX,284.0,284568.0
TOK,JPX,1891.0,1952020.0
TOK,SGX,1570.0,1603430.57
TOK,USX,1890.0,1976967.0
