Desk,Trader,Book,Positions,NV
HK,T3800229,HK00,655.0,718535.0
HK,T3800229,HK02,1860.0,1638752.84
HK,T3800229,HK03,1704.0,2022396.89
HK,T3800229,HK04,891.0,1007556.8
HK,T5727593,HK13,654.0,736750.2
HK,T5727593,HK14,583.0,618676.06
HK,T6189452,HK20,371.0,221580.4
LON,T2121033,LON20,634.0,712997.29
LON,T2121033,LON22,986.0,608396.48
LON,T2121033,LON23,211.0,110813.12
LON,T2121033,LON24,534.0,560818.67
LON,T6326422,LON02,2467.0,2558818.1
LON,T7210244,LON13,878.0,684324.25
LON,T7210244,LON14,121.0,72267.46
NY,T1087795,NY20,319.0,383059.93
NY,T1087795,NY23,368.0,331200.0
NY,T2078717,NY00,139.0,192793.0
NY,T2078717,NY01,231.0,329175.0
NY,T2078717,NY02,1615.0,1725497.0
NY,T2078717,NY04,220.0,290840.0
NY,T4439875,NY40,630.0,873810.0
NY,T4439875,NY41,1276.0,1386996.92
NY,T4439875,NY42,965.0,1058605.0
NY,T4439875,NY44,648.0,502848.0
NY,T4848015,NY31,211.0,240807.99
NY,T4848015,NY33,556.0,557112.0
NY,T4848015,NY34,859.0,773100.0
NY,T4848015,NY35,567.0,441926.94
NY,T7375392,NY11,950.0,1140774.07
NY,T7375392,NY13,802.0,421194.91
SG,T5983248,SG00,362.0,521593.9
SG,T5983248,SG03,440.0,342941.54
SG,T9277645,SG10,224.0,297096.57
SG,T9277645,SG13,558.0,553441.62
SG,T9277645,SG14,1222.0,1626550.39
SG,T9564084,SG21,327.0,364083.28
SG,T9564084,SG22,999.0,1324997.66
SYD,T5521536,SYD11,967.0,942626.0
SYD,T5521536,SYD13,836.0,1684326.42
TOK,T2697765,TOK00,437.0,606119.0
TOK,T2697765,TOK01,938.0,991236.33
TOK,T2697765,TOK02,448.0,491456.0
TOK,T3121807,TOK21,1062.0,1243433.48
TOK,T3121807,TOK22,1174.0,972217.09
TOK,T3121807,TOK23,284.0,284568.0
TOK,T3121807,TOK24,1732.0,1898560.71
TOK,T3937126,TOK30,968.0,823768.0
TOK,T9108891,TOK10,238.0,208263.26
TOK,T9108891,TOK12,773.0,1113790.29
