Desk,Trader,Book,BondID,Positions,NV
HK,T3800229,HK00,B17901,655.0,718535.0
HK,T3800229,HK02,B05609,709.0,638100.0
HK,T3800229,HK02,B47982,739.0,455988.84
HK,T3800229,HK02,B48886,412.0,544664.0
HK,T3800229,HK03,B28659,841.0,883236.89
HK,T3800229,HK03,B31214,863.0,1139160.0
HK,T3800229,HK04,B18694,436.0,490326.21
HK,T3800229,HK04,B25841,455.0,517230.59
HK,T5727593,HK13,B18694,283.0,318262.2
HK,T5727593,HK13,B27023,371.0,418488.0
HK,T5727593,HK14,B28917,421.0,404836.06
HK,T5727593,HK14,B31214,162.0,213840.0
HK,T6189452,HK20,B34105,371.0,221580.4
LON,T2121033,LON20,B18694,634.0,712997.29
LON,T2121033,LON22,B47982,986.0,608396.48
LON,T2121033,LON23,B27558,211.0,110813.12
LON,T2121033,LON24,B28659,534.0,560818.67
LON,T6326422,LON02,B04712,629.0,872423.0
LON,T6326422,LON02,B27558,875.0,459533.1
LON,T6326422,LON02,B45918,963.0,1226862.0
LON,T7210244,LON13,B23639,878.0,684324.25
LON,T7210244,LON14,B34105,121.0,72267.46
NY,T1087795,NY20,B17266,319.0,383059.93
NY,T1087795,NY23,B05609,368.0,331200.0
NY,T2078717,NY00,B04712,139.0,192793.0
NY,T2078717,NY01,B44611,231.0,329175.0
NY,T2078717,NY02,B16316,398.0,338698.0
NY,T2078717,NY02,B17901,987.0,1082739.0
NY,T2078717,NY02,B48886,230.0,304060.0
NY,T2078717,NY04,B48886,220.0,290840.0
NY,T4439875,NY40,B04712,630.0,873810.0
NY,T4439875,NY41,B23639,550.0,428676.92
NY,T4439875,NY41,B31214,726.0,958320.0
NY,T4439875,NY42,B17901,965.0,1058605.0
NY,T4439875,NY44,B35648,648.0,502848.0
NY,T4848015,NY31,B45193,211.0,240807.99
NY,T4848015,NY33,B02473,556.0,557112.0
NY,T4848015,NY34,B05609,859.0,773100.0
NY,T4848015,NY35,B23639,567.0,441926.94
NY,T7375392,NY11,B17266,950.0,1140774.07
NY,T7375392,NY13,B27558,802.0,421194.91
SG,T5983248,SG00,B03283,362.0,521593.9
SG,T5983248,SG03,B23639,440.0,342941.54
SG,T9277645,SG10,B08521,224.0,297096.57
SG,T9277645,SG13,B10340,116.0,128411.84
SG,T9277645,SG13,B28917,442.0,425029.78
SG,T9277645,SG14,B03283,663.0,955294.91
SG,T9277645,SG14,B17266,559.0,671255.48
SG,T9564084,SG21,B10340,208.0,230255.71
SG,T9564084,SG21,B18694,119.0,133827.57
SG,T9564084,SG22,B08521,999.0,1324997.66
SYD,T5521536,SYD11,B16316,684.0,582084.0
SYD,T5521536,SYD11,B45918,283.0,360542.0
SYD,T5521536,SYD13,B31538,836.0,1684326.42
TOK,T2697765,TOK00,B04712,437.0,606119.0
TOK,T2697765,TOK01,B17901,131.0,143707.0
TOK,T2697765,TOK01,B28659,807.0,847529.33
TOK,T2697765,TOK02,B17901,448.0,491456.0
TOK,T3121807,TOK21,B05609,226.0,203400.0
TOK,T3121807,TOK21,B38589,836.0,1040033.48
TOK,T3121807,TOK22,B27023,485.0,547080.0
TOK,T3121807,TOK22,B47982,689.0,425137.09
TOK,T3121807,TOK23,B02473,284.0,284568.0
TOK,T3121807,TOK24,B28659,858.0,901090.67
TOK,T3121807,TOK24,B45193,874.0,997470.04
TOK,T3937126,TOK30,B16316,968.0,823768.0
TOK,T9108891,TOK10,B01774,130.0,143760.07
TOK,T9108891,TOK10,B34105,108.0,64503.19
TOK,T9108891,TOK12,B03283,773.0,1113790.29
